YEAR,ROUND,GAME_ID,TEAM1,SEED1,DISPLAY_RANK1,RECORD1,TEAM1_SCORE,TEAM2,SEED2,DISPLAY_RANK2,RECORD2,TEAM2_SCORE,WINNER,LOSER,COMPLETED,SOURCE,NOTES
2026,NCG,2026_NCG_1,Rapid City,11,11,16-1,31,Georgia,1,1,14-2,30,Rapid City,Georgia,1,Bracket screenshot,
2026,QF,2026_QF_1,Texas Tech,5,5,13-2,13,Clemson,4,4,12-Mar,38,Clemson,Texas Tech,1,Bracket screenshot,
2026,QF,2026_QF_2,USC,9,9,11-Mar,17,Georgia,1,1,14-2,27,Georgia,USC,1,Bracket screenshot,
2026,QF,2026_QF_3,Rapid City,11,11,16-1,49,SMU,3,3,12-Feb,20,Rapid City,SMU,1,Bracket screenshot,
2026,QF,2026_QF_4,UCLA,7,7,12-Mar,31,Ohio State,2,2,12-Mar,34,Ohio State,UCLA,1,Bracket screenshot,
2026,R1,2026_R1_1,Duke,12,12,9-Apr,16,Texas Tech,5,5,13-2,42,Texas Tech,Duke,1,Bracket screenshot,
2026,R1,2026_R1_2,USC,9,9,11-Mar,45,Pittsburgh,8,8,10-Mar,31,USC,Pittsburgh,1,Bracket screenshot,
2026,R1,2026_R1_3,Rapid City,11,11,16-1,47,Texas,6,6,11-Mar,25,Rapid City,Texas,1,Bracket screenshot,
2026,R1,2026_R1_4,Penn State,10,10,9-Apr,24,UCLA,7,7,12-Mar,45,UCLA,Penn State,1,Bracket screenshot,
2026,SF,2026_SF_1,Clemson,4,4,12-Mar,22,Georgia,1,1,14-2,38,Georgia,Clemson,1,Bracket screenshot,
2026,SF,2026_SF_2,Rapid City,11,11,16-1,42,Ohio State,2,2,12-Mar,10,Rapid City,Ohio State,1,Bracket screenshot,
2027,NCG,2027_NCG_1,USC,6,6,13-4,13,Rapid City,1,1,16-0,33,Rapid City,USC,1,Bracket screenshot,
2027,QF,2027_QF_1,Baylor,12,19,13-3,31,Georgia,4,4,11-Mar,21,Baylor,Georgia,1,Bracket screenshot,
2027,QF,2027_QF_2,Alabama,8,8,10-Apr,28,Rapid City,1,1,16-0,45,Rapid City,Alabama,1,Bracket screenshot,
2027,QF,2027_QF_3,USC,6,6,13-4,28,Ohio State,3,3,11-Mar,27,USC,Ohio State,1,Bracket screenshot,
2027,QF,2027_QF_4,Hammond,7,7,13-3,35,Miami,2,2,12-Feb,30,Hammond,Miami,1,Bracket screenshot,
2027,R1,2027_R1_1,Baylor,12,19,13-3,34,Penn State,5,5,10-Mar,31,Baylor,Penn State,1,Bracket screenshot,
2027,R1,2027_R1_2,Auburn,9,9,10-Mar,37,Alabama,8,8,10-Apr,42,Alabama,Auburn,1,Bracket screenshot,
2027,R1,2027_R1_3,Alabaster,11,13,12-Feb,17,USC,6,6,13-4,30,USC,Alabaster,1,Bracket screenshot,
2027,R1,2027_R1_4,SMU,10,10,9-Apr,24,Hammond,7,7,13-3,48,Hammond,SMU,1,Bracket screenshot,
2027,SF,2027_SF_1,Baylor,12,19,13-3,27,Rapid City,1,1,16-0,41,Rapid City,Baylor,1,Bracket screenshot,
2027,SF,2027_SF_2,USC,6,6,13-4,33,Hammond,7,7,13-3,31,USC,Hammond,1,Bracket screenshot,
2028,NCG,2028_NCG_1,Hammond,2,2,16-0,28,Rapid City,1,1,15-1,24,Hammond,Rapid City,1,Bracket screenshot,
2028,QF,2028_QF_1,LSU,5,5,12-Mar,34,Georgia,4,4,11-Mar,20,LSU,Georgia,1,Bracket screenshot,
2028,QF,2028_QF_2,Alabaster,9,9,12-Mar,21,Rapid City,1,1,15-1,23,Rapid City,Alabaster,1,Bracket screenshot,
2028,QF,2028_QF_3,Indiana,6,6,12-Mar,24,USC,3,3,11-Mar,17,Indiana,USC,1,Bracket screenshot,
2028,QF,2028_QF_4,SMU,10,10,10-Apr,23,Hammond,2,2,16-0,28,Hammond,SMU,1,Bracket screenshot,
2028,R1,2028_R1_1,Arkansas State,12,16,12-Feb,17,LSU,5,5,12-Mar,39,LSU,Arkansas State,1,Bracket screenshot,
2028,R1,2028_R1_2,Alabaster,9,9,12-Mar,34,Ole Miss,8,8,9-Apr,25,Alabaster,Ole Miss,1,Bracket screenshot,
2028,R1,2028_R1_3,Tennessee,11,11,10-Mar,41,Indiana,6,6,12-Mar,44,Indiana,Tennessee,1,Bracket screenshot,
2028,R1,2028_R1_4,SMU,10,10,10-Apr,59,Panama City,7,7,10-Mar,38,SMU,Panama City,1,Bracket screenshot,
2028,SF,2028_SF_1,LSU,5,5,12-Mar,35,Rapid City,1,1,15-1,42,Rapid City,LSU,1,Bracket screenshot,
2028,SF,2028_SF_2,Indiana,6,6,12-Mar,29,Hammond,2,2,16-0,31,Hammond,Indiana,1,Bracket screenshot,
2029,NCG,2029_NCG_1,Alabaster,10,10,13-3,20,Rapid City,1,1,15-1,56,Rapid City,Alabaster,1,Bracket screenshot,
2029,QF,2029_QF_1,Nebraska,5,5,11-Apr,21,Michigan,4,4,13-2,38,Michigan,Nebraska,1,Bracket screenshot,
2029,QF,2029_QF_2,Penn State,9,9,11-Mar,17,Rapid City,1,1,15-1,56,Rapid City,Penn State,1,Bracket screenshot,
2029,QF,2029_QF_3,Panama City,11,11,12-Mar,52,Hammond,3,3,12-Feb,42,Panama City,Hammond,1,Bracket screenshot,
2029,QF,2029_QF_4,Alabaster,10,10,13-3,40,Pittsburgh,2,2,12-Feb,33,Alabaster,Pittsburgh,1,Bracket screenshot,
2029,R1,2029_R1_1,Liberty,12,17,11-Mar,17,Nebraska,5,5,11-Apr,49,Nebraska,Liberty,1,Bracket screenshot,
2029,R1,2029_R1_2,Penn State,9,9,11-Mar,45,SMU,8,8,10-Apr,39,Penn State,SMU,1,Bracket screenshot,
2029,R1,2029_R1_3,Panama City,11,11,12-Mar,59,Clemson,6,6,10-Mar,56,Panama City,Clemson,1,Bracket screenshot,
2029,R1,2029_R1_4,Alabaster,10,10,13-3,30,Oklahoma State,7,7,12-Feb,27,Alabaster,Oklahoma State,1,Bracket screenshot,
2029,SF,2029_SF_1,Michigan,4,4,13-2,30,Rapid City,1,1,15-1,45,Rapid City,Michigan,1,Bracket screenshot,
