Year,Coach,Team,User
2025,Mike Stegeman,Rapid City,Mike
2026,Devin Boyer,Hammond,Devin
2027,Mike Stegeman,Rapid City,Mike
2028,Devin Boyer,Hammond,Devin
2029,Ben Castro,Southern Miss,CPU
2030,Timmy Chang,San Diego State,CPU
2031,Steve Poland,WVU,CPU
2032,Steve Poland,WVU,CPU
2033,Sonny Dykes,TCU,CPU
2034,Willie Scruggs,App State,CPU
2035,Blake Anderson,Boise State,CPU
2036,Glenn Rawls,Toledo,CPU
2037,Mike Stegeman,Wyoming,Mike
2038,Devin Boyer,Bowling Green,Devin
2039,Geter Priffin,Texas Tech,Noah
2040,Josh Folck,USF,Josh
