Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,QualityWins,BestWin,GamesPlayed
1,Texas Tech,13,0,1.0,23.007,5.183,0.6772,17.0,13W,7,#9,13
2,Notre Dame,11,1,0.917,21.962,-0.702,0.3881,-2.5,4W,1,#12,12
3,USF,10,2,0.833,21.634,2.977,0.4493,-11.8,3W,5,#7,12
4,West Virginia,13,0,1.0,19.671,-3.489,0.3852,12.0,13W,1,#20,13
5,Bowling Green,12,1,0.923,18.796,4.916,0.5939,50.8,1L,7,#9,13
6,Miami (OH),1,0,1.0,17.693,-13.905,0.0839,1.0,1W,0,,1
7,LSU,9,3,0.75,14.46,-1.372,0.2459,-34.0,1L,1,#5,12
8,Florida State,10,3,0.769,13.968,6.798,0.51,33.2,2W,6,#2,13
9,Florida,9,3,0.75,13.129,6.8,0.4691,15.0,1L,2,#10,12
10,Georgia Tech,11,2,0.846,13.01,-0.502,0.3276,-10.6,5W,3,#14,13
11,Texas A&M,10,2,0.833,12.968,-2.69,0.2978,-33.5,2L,2,#13,12
12,UCLA,10,3,0.769,12.904,-2.869,0.2087,-78.2,2W,0,,13
13,Texas,9,3,0.75,12.821,1.85,0.338,-25.9,3W,1,#19,12
14,Ole Miss,9,4,0.692,11.73,1.553,0.2835,1.0,2W,3,#6,13
15,Fresno State,11,1,0.917,11.377,-3.704,0.3141,-11.1,7W,0,,12
16,Clemson,9,3,0.75,10.996,-0.967,0.2617,31.9,7W,1,#23,12
17,North Carolina,10,2,0.833,9.926,0.726,0.3625,4.8,6W,1,#21,12
18,Miami,10,5,0.667,9.442,0.258,0.1455,2.0,1L,0,,15
19,San Jose State,9,3,0.75,9.413,6.867,0.4516,67.2,3W,4,#8,12
20,BYU,10,2,0.833,9.094,0.397,0.3467,15.0,3W,1,#24,12
21,Michigan,7,5,0.583,8.919,1.547,0.1387,-38.9,1L,1,#7,12
22,Auburn,8,4,0.667,8.87,4.282,0.3217,98.3,2L,3,#7,12
23,Southern Mississippi,9,4,0.692,8.683,-1.31,0.1512,-85.9,3W,0,,13
24,TCU,8,4,0.667,8.21,0.628,0.1702,-42.2,1W,1,#16,12
25,Houston,10,3,0.769,7.917,-4.688,0.1189,-25.1,1L,0,,13
