Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Notre Dame,85.8,96.7,93.1,99.2,84.3,78,90.0,50.0,85.5,57.5,86,100.0
Texas,81.7,90.8,83.1,97.7,89.7,82,90.0,50.0,69.6,21.3,98,80.0
Texas Tech,81.6,74.2,95.4,87.7,78.4,82,100.0,50.0,90.6,63.5,74,100.0
Alabama,81.5,83.3,94.6,98.5,84.1,74,100.0,50.0,52.7,94.2,62,100.0
Bowling Green,81.2,86.7,98.5,62.3,78.4,70,100.0,50.0,82.7,66.5,74,100.0
Nebraska,80.3,96.7,99.2,20.8,93.6,78,90.0,50.0,60.5,100.0,100,50.0
Ohio State,77.1,90.8,96.9,94.6,81.8,66,70.0,50.0,58.7,8.5,74,100.0
Georgia,76.5,89.2,97.7,61.5,85.0,78,70.0,50.0,65.4,100.0,50,50.0
Ole Miss,75.5,70.0,89.2,96.9,75.0,86,80.0,50.0,74.3,54.5,74,50.0
Clemson,74.8,90.8,84.6,69.2,74.5,74,70.0,50.0,67.3,16.1,98,80.0
Auburn,74.7,55.8,81.5,93.8,75.8,78,100.0,50.0,68.7,44.6,98,100.0
USF,74.0,48.3,93.8,95.4,70.1,78,100.0,50.0,91.7,23.9,62,100.0
Michigan,73.5,96.7,88.5,96.2,81.7,62,50.0,50.0,67.9,3.8,62,50.0
Florida State,73.2,74.2,86.2,86.9,80.0,82,70.0,50.0,64.6,48.6,74,50.0
Texas A&M,72.8,63.3,72.3,80.0,74.2,78,100.0,50.0,79.9,63.5,74,50.0
Florida,72.8,65.0,82.3,83.8,73.5,78,70.0,50.0,65.1,100.0,86,100.0
Georgia Tech,72.7,70.0,73.1,66.2,78.2,82,100.0,50.0,70.4,50.0,74,50.0
Miami,72.1,83.3,90.8,0.0,85.0,66,90.0,50.0,57.6,100.0,86,50.0
USC,71.9,83.3,96.2,56.2,76.8,62,70.0,50.0,61.6,63.5,62,50.0
Penn State,71.7,80.0,91.5,90.0,78.9,58,70.0,50.0,58.5,41.0,50,50.0
Rapid City,70.1,74.2,86.9,82.3,80.5,66,70.0,50.0,42.1,88.8,50,50.0
LSU,69.8,66.7,78.5,78.5,73.0,70,70.0,50.0,83.5,35.6,62,100.0
Oklahoma,69.3,54.2,77.7,70.8,87.0,78,90.0,50.0,51.9,36.5,98,50.0
Oregon,66.2,66.7,85.4,86.2,75.6,54,50.0,50.0,61.9,57.5,62,50.0
San Jose State,66.0,42.5,92.3,93.1,75.5,66,55.0,50.0,61.1,100.0,50,100.0
TCU,65.6,53.3,83.8,92.3,74.8,82,50.0,50.0,72.8,27.2,62,50.0
Washington,65.6,66.7,90.0,36.9,66.9,66,65.0,50.0,49.5,100.0,74,50.0
Tennessee,64.3,46.7,73.8,91.5,68.2,78,90.0,50.0,42.5,33.5,62,50.0
NC State,64.1,57.5,79.2,58.5,78.8,78,70.0,50.0,51.8,36.5,62,50.0
Hammond,64.1,70.0,87.7,40.0,68.1,66,70.0,50.0,51.1,4.1,74,50.0
Oklahoma State,61.9,55.8,74.6,74.6,67.8,50,70.0,50.0,55.4,64.8,50,50.0
Arkansas,61.0,46.7,70.8,47.7,71.6,66,90.0,50.0,39.9,100.0,50,50.0
Arizona State,60.7,40.8,76.2,71.5,63.2,58,90.0,50.0,60.1,11.2,62,50.0
Death Valley,60.5,29.2,63.8,63.8,73.0,74,100.0,50.0,34.9,100.0,62,80.0
Panama City,59.8,39.2,80.8,84.6,70.5,66,70.0,50.0,56.0,0.0,50,50.0
Alabaster,59.5,46.7,67.7,12.3,75.6,70,100.0,50.0,30.4,100.0,62,50.0
Wyoming,59.1,48.3,39.2,44.6,83.8,82,90.0,50.0,49.2,48.5,74,50.0
West Virginia,59.0,33.3,60.0,42.3,79.0,62,70.0,50.0,77.5,60.5,86,100.0
UCLA,58.2,40.8,76.9,45.4,67.5,66,70.0,50.0,68.1,18.3,62,50.0
North Carolina,58.1,31.7,66.9,36.2,67.1,66,90.0,50.0,57.6,100.0,62,50.0
Houston,57.7,27.5,66.2,88.5,83.5,54,55.0,50.0,76.8,60.5,50,50.0
Duke,57.4,24.2,75.4,89.2,63.2,62,70.0,50.0,58.1,42.2,62,50.0
SMU,55.1,31.7,71.5,57.7,67.5,62,70.0,50.0,64.0,9.5,50,50.0
Baylor,55.0,36.7,80.0,50.0,59.5,62,70.0,50.0,54.3,3.0,50,50.0
East Carolina,54.3,20.0,50.8,73.1,68.5,58,100.0,50.0,59.7,0.0,62,50.0
Virginia Tech,53.2,33.3,69.2,43.8,65.5,62,50.0,50.0,53.5,80.5,62,50.0
North Texas,52.6,27.5,64.6,90.8,58.2,66,55.0,50.0,50.1,20.5,50,50.0
Stanford,52.6,33.3,49.2,60.8,67.1,54,90.0,50.0,39.9,24.5,50,50.0
Wake Forest,52.1,5.8,61.5,72.3,65.8,62,90.0,50.0,59.2,32.1,50,50.0
California,51.2,20.0,65.4,77.7,53.2,74,70.0,50.0,32.3,41.1,50,50.0
Missouri,50.8,20.0,63.1,63.1,66.5,70,70.0,50.0,36.4,32.0,50,50.0
San Diego State,50.2,39.2,40.0,50.0,67.3,54,55.0,50.0,50.5,71.8,62,50.0
Indiana,49.6,20.0,55.4,60.0,66.4,70,55.0,50.0,51.7,38.0,62,50.0
Memphis,49.4,16.7,57.7,76.2,53.5,58,70.0,50.0,37.6,66.2,50,50.0
Wisconsin,48.0,20.0,60.8,16.9,66.3,70,55.0,50.0,58.8,32.0,74,50.0
BYU,47.9,30.0,36.2,46.2,60.2,62,50.0,50.0,75.2,62.0,50,50.0
Illinois,47.8,7.5,54.6,83.1,58.5,70,55.0,50.0,32.3,100.0,50,50.0
UCF,47.5,0.0,44.6,76.9,60.5,74,80.0,50.0,43.7,61.5,50,50.0
Temple,46.7,7.5,58.5,79.2,56.0,50,50.0,50.0,55.1,69.5,50,50.0
Iowa,46.6,29.2,70.0,26.2,58.0,62,55.0,50.0,28.5,21.5,50,50.0
Kansas,45.8,16.7,40.8,59.2,58.0,54,70.0,50.0,56.0,22.2,50,50.0
Virginia,45.7,16.7,56.2,81.5,50.5,54,55.0,50.0,43.5,0.0,50,50.0
Troy,45.2,16.7,46.9,48.5,71.5,50,55.0,50.0,64.7,0.0,50,50.0
Toledo,44.7,12.5,53.8,73.8,50.5,50,55.0,50.0,57.0,0.0,50,50.0
South Carolina,44.7,7.5,38.5,80.8,65.5,54,70.0,50.0,21.9,65.6,50,50.0
Charlotte,44.6,0.0,3.8,41.5,90.5,58,100.0,50.0,55.2,89.6,50,50.0
Utah,44.5,7.5,41.5,75.4,60.5,62,50.0,50.0,35.5,100.0,50,50.0
Pittsburgh,44.2,24.2,32.3,6.9,76.5,54,70.0,50.0,64.4,14.6,50,50.0
Colorado,43.1,7.5,56.9,50.8,55.8,62,50.0,50.0,36.4,54.5,50,50.0
Fresno State,43.0,0.0,45.4,54.6,56.5,66,55.0,50.0,59.4,55.1,50,50.0
Michigan State,42.7,7.5,48.5,30.0,56.0,54,55.0,50.0,50.9,100.0,50,50.0
Louisville,42.6,13.3,43.8,17.7,58.8,74,70.0,50.0,36.6,15.5,62,50.0
Kentucky,42.6,4.2,37.7,67.7,58.5,62,70.0,50.0,36.4,24.5,50,50.0
Kansas State,41.0,0.0,34.6,33.1,58.2,54,70.0,50.0,45.2,100.0,50,50.0
Syracuse,40.6,0.0,36.9,18.5,66.0,62,70.0,50.0,36.8,71.9,62,50.0
Air Force,40.5,0.0,26.9,53.8,55.8,50,70.0,50.0,39.5,100.0,50,50.0
Purdue,40.5,3.3,53.1,30.8,60.5,58,55.0,50.0,40.8,32.0,50,50.0
Iowa State,40.3,0.0,6.2,40.8,75.5,58,90.0,50.0,45.0,33.6,62,50.0
Ohio,39.9,3.3,15.4,53.1,58.5,54,70.0,50.0,68.0,23.0,50,50.0
