YEAR,FINISH,NAME,POS,TEAM,USER,CLASS,WINNER,OVR,STAR_COUNT,PASS_YDS,PASS_TD,PASS_COMP_PCT,PASS_INT,RUSH_ATT,RUSH_YDS,RUSH_TD,YPC,CATCHES,REC_YDS,REC_TD,LONG_REC,REC_YAC,DROPS
2025,1,Victor Snow,WR,Rapid City,Mike,,Yes,0,,,,,,,,,,,,,,,
2026,1,Freddie Brock,RB,Rapid City,Mike,,Yes,0,,,,,,,,,,,,,,,
2027,1,Carter Nelson,TE,Nebraska,Nick,,Yes,0,,,,,,,,,,,,,,,
2028,1,Tayvion Galloway,TE,Nebraska,Nick,,Yes,0,,,,,,,,,,,,,,,
2029,1,Diondre Antwine,WR,Nebraska,Nick,,Yes,0,,,,,,,,,,,,,,,
2030,1,Kona Fiala,RB,Hammond,Devin,,Yes,0,,,,,,,,,,,,,,,
2031,1,Calvin Dubose,RB,Rapid City,Mike,,Yes,0,,,,,,,,,,,,,,,
2032,1,Sateki Yamini,WR,Nebraska,Nick,,Yes,0,,,,,,,,,,,,,,,
2033,1,Sateki Yamini,WR,Nebraska,Nick,,Yes,0,,,,,,,,,,,,,,,
2034,1,Brian Shelley,RB,Nebraska,Nick,,Yes,0,,,,,,,,,,,,,,,
2035,1,Tyrell Bequette,QB,Nebraska,Nick,,Yes,0,,,,,,,,,,,,,,,
2036,1,Tyrell Bequette,QB,Nebraska,Nick,,Yes,0,,,,,,,,,,,,,,,
2037,1,Jabari Orakpo,RB,Nebraska,Nick,,Yes,0,,,,,,,,,,,,,,,
2038,1,Jameson Fehoko,WR,Death Valley,Doug,,Yes,0,,,,,,,,,,,,,,,
2039,1,Sam Koenig,TE,Nebraska,Nick,,Yes,0,,,,,,,,,,,,,,,
2040,1,Donte Zitelli,RB,Bowling Green,Devin,,Yes,0,,,,,,,,,,,,,,,
2041,1,Josh Russo,QB,Clemson,CPU,SR (RS),Yes,97,2.0,5729.0,64.0,76.0,5.0,257.0,852.0,,,,,,,,
2041,2,Carl Isaacs,HB,Bowling Green,Devin,SR (RS),No,89,1.0,,,,,204.0,1820.0,28.0,8.0,70.0,895.0,,,,
2041,3,Kevin McCallister,HB,Florida,Doug,JR (RS),No,94,0.0,,,,,201.0,1682.0,23.0,8.0,61.0,644.0,,,,
2041,4,Clyde Carlyle,QB,Duke,CPU,SR (RS),No,96,0.0,4454.0,39.0,64.0,6.0,204.0,799.0,,,,,,,,
2041,5,Marquise Adams,WR,Notre Dame,CPU,JR (RS),No,90,0.0,,,,,,,,,119.0,1805.0,18.0,94.0,573.0,2.0
2042,1,Emmitt Smith,HB,Florida,Doug,SR,Yes,91,,,,,,251.0,1824.0,25.0,7.3,54.0,610.0,,,,
2042,2,Ramon Poole,QB,Texas Tech,Noah,JR (RS),No,95,,4072.0,46.0,77.0,7.0,67.0,479.0,,,,,,,,
2042,3,Marquee Pool,QB,Alabaster,CPU,JR (RS),No,92,,4264.0,32.0,63.0,6.0,172.0,622.0,,,,,,,,
2042,4,Frederick Drango,QB,Bowling Green,Devin,SR (RS),No,95,,4363,45,70,13,96,614,,,,,,,,
2042,5,Tobias Blunt,QB (Right),Clemson,CPU,JR (RS),No,85,3.0,4476.0,44.0,70.0,9.0,184.0,529.0,,,,,,,,
