YEAR,NAME,POS,TEAM,USER
2025,Victor Snow,WR,Rapid City,Mike
2026,Freddie Brock,RB,Rapid City,Mike
2027,Carter Nelson,TE,Nebraska,Nick
2028,Tayvion Galloway,TE,Nebraska,Nick
2029,Diondre Antwine,WR,Nebraska,Nick
2030,Kona Fiala,RB,Hammond,Devin
2031,Calvin Dubose,RB,Rapid City,Mike
2032,Sateki Yamini,WR,Nebraska,Nick
2033,Sateki Yamini,WR,Nebraska,Nick
2034,Brian Shelley,RB,Nebraska,Nick
2035,Tyrell Bequette,QB,Nebraska,Nick
2036,Tyrell Bequette,QB,Nebraska,Nick
2037,Jabari Orakpo,RB,Nebraska,Nick
2038,Jameson Fehoko,WR,Death Valley,Doug
2039,Sam Koenig,TE,Nebraska,Nick
2040,Donte Zitelli,RB,Bowling Green,Devin
2041,Josh Russo,QB,Clemson,CPU
