YEAR,WEEK,RANK,NAME,POS,TEAM
2041,15,1.0,Carl Isaacs,HB,Bowling Green
2041,15,2.0,Kevin McCallister,HB,Florida
2041,15,3.0,Clyde Carlyle,QB,Duke
2041,15,4.0,Marquise Adams,WR,Notre Dame
2042,0,1.0,Rico Rossi,QB,Auburn
2042,0,2.0,Nick Hendricks,HB,West Virginia
2042,0,3.0,Telvin Sherry,WR,Ohio State
2042,0,4.0,Terrell Bethea,QB,USF
2042,0,5.0,Earl Williams,QB,Alabama
2042,2,1.0,Rico Rossi,QB,Auburn
2042,2,2.0,Nick Hendricks,HB,West Virginia
2042,2,3.0,Telvin Sherry,WR,Ohio State
2042,2,4.0,Terrelle Bethea,QB,USF
2042,2,5.0,Earl Williams,QB,Alabama
2042,3,1.0,Ryan Bragg,WR,San Jose State
2042,3,2.0,Josh Campanaro,QB,Texas
2042,3,3.0,Terrelle Bethea,QB,USF
2042,3,4.0,Ramon Poole,QB,Texas Tech
2042,3,5.0,John Kalambayi,WR,Clemson
2042,4,1.0,Frederick Drango,QB,Bowling Green
2042,4,2.0,Ramon Poole,QB,Texas Tech
2042,4,3.0,Terrelle Bethea,QB,USF
2042,4,4.0,Gordon Giamello,QB,Death Valley
2042,4,5.0,Ryan Bragg,WR,San Jose State
2042,5,1.0,Frederick Drango,QB,Bowling Green
2042,5,2.0,Terrelle Bethea,QB,USF
2042,5,3.0,Kareem Alston,HB,Bowling Green
2042,5,4.0,Ryan Bragg,WR,San Jose State
2042,5,5.0,Cameron Gorman,QB,LSU
2042,6,1.0,Frederick Drango,QB,Bowling Green
2042,6,2.0,Kareem Alston,HB,Bowling Green
2042,6,3.0,Tavares Scroggins,HB,Florida
2042,6,4.0,Ryan Bragg,WR,San Jose State
2042,6,5.0,Cory Potts,WR,Notre Dame
2042,7,1.0,Frederick Drango,QB,Bowling Green
2042,7,2.0,Kareem Alston,HB,Bowling Green
2042,7,3.0,Cory Potts,WR,Notre Dame
2042,7,4.0,Tavarres Scroggins,HB,Florida
2042,7,5.0,Cameron Gorman,QB,LSU
2042,8,1.0,Cory Potts,WR,Notre Dame
2042,8,2.0,Kareem Alston,HB,Bowling Green
2042,8,3.0,Frederick Drango,QB,Bowling Green
2042,8,4.0,Tavares Scroggins,HB,Florida
2042,8,5.0,Warren Book,QB,Notre Dame
