Team,Player,Pos,OVR,Age,SPD,STR,AGI,ACC,AWR,BTK,TRK,COD,BCV
Seahawks,B. Cabeldue,LG,66,23,74,90,61,77,67,5,18,61,18
Seahawks,D. Lock,QB,66,28,83,68,80,85,68,52,46,79,71
Seahawks,J. Milroe,QB,65,22,93,69,89,93,49,74,52,87,87
Seahawks,C. O'Toole,REDG,64,23,84,81,82,87,48,35,36,71,42
Seahawks,C. Surratt,SAM,64,28,85,75,82,87,64,41,44,73,61
Seahawks,C. White,WR,64,26,83,69,76,85,72,67,48,70,74
Seahawks,K. McIntosh,HB,64,25,87,66,83,89,64,80,70,82,73
Seahawks,A. Finley,SS,63,23,87,56,86,87,61,60,51,84,66
Seahawks,B. Pili,DT,63,26,61,82,60,72,68,16,30,49,14
Seahawks,M. Richman,RT,63,23,60,84,65,72,65,13,30,51,12
Seahawks,C. Stoll,LS,62,27,75,65,61,74,49,15,42,53,33
Seahawks,B. Russell,TE,61,27,80,71,75,83,62,59,62,73,75
Seahawks,A. Kight,LT,60,24,64,78,48,64,59,10,23,47,14
Seahawks,N. Kallerup,TE,60,24,81,72,65,83,62,48,59,64,62
Seahawks,J. Ivey,LEDG,59,23,67,74,66,66,60,21,31,58,32
Seahawks,P. O'Connell,MIKE,57,26,82,62,83,87,59,42,48,78,55
Steelers,C. Heyward,DT,95,36,75,94,67,73,96,11,36,59,29
Steelers,J. Ramsey,FS,94,30,94,71,90,93,92,68,42,89,72
Steelers,T. Watt,LEDG,94,30,83,86,84,87,98,23,52,70,49
Steelers,A. Highsmith,REDG,87,28,85,85,82,87,88,16,32,74,31
Steelers,C. Boswell,K,86,34,73,44,62,72,74,12,15,53,10
Steelers,D. Metcalf,WR,85,27,95,79,84,93,85,85,80,82,86
Steelers,J. Porter,CB,85,25,90,67,89,94,86,66,52,84,69
Steelers,Z. Frazier,C,85,24,64,88,56,69,90,9,30,54,17
Steelers,J. Warren,HB,82,26,90,75,80,94,85,85,78,83,87
Steelers,I. Seumalo,LG,81,31,69,84,67,72,87,8,20,53,10
Steelers,A. Rodgers,QB,80,41,78,59,75,76,83,59,29,72,76
Steelers,D. Elliott,SS,80,28,88,57,79,88,83,41,42,79,63
Steelers,P. Queen,MIKE,80,26,88,73,85,89,87,52,64,78,71
Steelers,K. Gainwell,HB,79,26,89,70,86,87,83,80,71,86,84
Steelers,P. Freiermuth,TE,79,26,83,78,77,83,79,67,83,72,75
Steelers,C. Clark,FS,78,30,87,67,85,90,81,44,52,84,55
Steelers,N. Herbig,REDG,78,23,84,74,77,90,81,30,40,76,45
Steelers,D. Harmon,DT,77,22,74,93,76,76,79,27,41,66,29
Steelers,J. Pierre,CB,77,28,94,60,83,91,73,53,25,82,65
Steelers,K. Dugger,SS,77,29,89,77,86,88,78,60,49,83,75
Steelers,M. McCormick,RG,77,25,70,90,61,79,74,10,33,61,24
Steelers,T. Fautanu,RT,77,24,72,87,70,79,78,20,40,57,30
Steelers,L. Lee,DT,70,25,71,83,78,73,70,20,32,69,26
Steelers,D. Kent,CB,68,23,93,56,79,93,61,49,30,81,75
Steelers,Y. Black,DT,68,23,60,87,63,66,68,22,30,55,30
Steelers,C. Trice Jr,CB,67,25,90,67,92,91,57,60,55,89,69
Steelers,D. Parham,TE,67,28,85,71,75,83,65,61,64,70,66
Steelers,J. Driscoll,RG,67,28,70,83,61,74,76,17,37,49,28
Steelers,M. Killebrew,FS,67,32,86,76,82,85,70,48,53,75,53
Steelers,S. Anderson,LG,67,25,67,88,63,70,73,21,26,50,22
Steelers,E. Otomewo,DT,66,26,76,81,62,81,67,24,28,48,22
Steelers,M. Scharping,RG,66,29,65,86,60,64,76,6,25,54,10
Vikings,Justin Jefferson,WR,94,26,91,64,95,92,89,81,65,98,94
Vikings,Ryan Kelly,C,91,32,69,85,66,70,97,7,29,57,26
