YEAR,WEEK,USER,TEAM,OPPONENT,HOME_AWAY,TEAM_SCORE,OPP_SCORE,ACTUAL_MARGIN,SPREAD,DIFF_VS_SPREAD,RESULT,FAV_DOG,FPI_TEAM,FPI_OPP,FPI_FILE,OPP_IS_USER
2042,1,Devin,Bowling Green,Miami,HOME,56,28,28,3.0,25.0,COVER,FAV,0.0,0.0,none,False
2042,2,Devin,Bowling Green,Penn State,AWAY,49,21,28,-3.0,31.0,COVER,DOG,0.0,0.0,none,False
2042,3,Devin,Bowling Green,Toledo,AWAY,77,10,67,-3.0,70.0,COVER,DOG,0.0,0.0,none,False
2042,4,Devin,Bowling Green,Kentucky,HOME,69,10,59,3.0,56.0,COVER,FAV,0.0,0.0,none,False
2042,5,Devin,Bowling Green,Florida,HOME,56,38,18,3.0,15.0,COVER,FAV,0.0,0.0,none,True
2042,6,Devin,Bowling Green,Missouri,HOME,42,24,18,3.0,15.0,COVER,FAV,0.0,0.0,none,False
2042,7,Devin,Bowling Green,South Carolina,AWAY,49,0,49,-3.0,52.0,COVER,DOG,0.0,0.0,none,False
2042,8,Devin,Bowling Green,Notre Dame,HOME,44,36,8,3.2,4.8,COVER,FAV,22.84,22.52,fpi_ratings_2042_wk8.csv,False
2042,9,Devin,Bowling Green,Oklahoma,HOME,35,28,7,16.7,-9.7,MISS,FAV,22.24,1.16,fpi_ratings_2042_wk9.csv,False
2042,10,Devin,Bowling Green,Georgia,AWAY,42,17,25,4.3,20.7,COVER,FAV,22.24,11.01,fpi_ratings_2042_wk9.csv,False
2042,11,Devin,Bowling Green,Auburn,AWAY,31,21,10,4.8,5.2,COVER,FAV,22.24,10.3,fpi_ratings_2042_wk9.csv,False
2042,13,Devin,Bowling Green,Florida State,AWAY,38,35,3,0.7,2.3,COVER,FAV,21.4,15.75,fpi_ratings_2042_wk13.csv,True
2042,16,Devin,Bowling Green,Florida State,HOME,38,41,-3,6.7,-9.7,MISS,FAV,21.4,15.75,fpi_ratings_2042_wk13.csv,True
2042,18,Devin,Bowling Green,Death Valley,HOME,55,20,35,20.3,14.7,COVER,FAV,21.4,-5.23,fpi_ratings_2042_wk13.csv,False
2042,19,Devin,Bowling Green,Georgia Tech,HOME,45,35,10,7.4,2.6,COVER,FAV,21.4,14.57,fpi_ratings_2042_wk13.csv,False
2042,20,Devin,Bowling Green,USF,AWAY,35,21,14,-3.5,17.5,COVER,DOG,21.4,22.21,fpi_ratings_2042_wk13.csv,True
2043,1,Devin,Bowling Green,Georgia Tech,AWAY,49,17,32,21.3,10.7,COVER,FAV,14.56,-22.77,fpi_ratings_2043_wk1.csv,False
2043,2,Devin,Bowling Green,Baylor,HOME,42,13,29,19.4,9.6,COVER,FAV,25.12,-0.04,fpi_ratings_2043_wk2.csv,False
2043,3,Devin,Bowling Green,SMU,HOME,56,24,32,26.5,5.5,COVER,FAV,25.12,-11.06,fpi_ratings_2043_wk3.csv,False
2043,4,Devin,Bowling Green,Georgia,AWAY,56,7,49,14.3,34.7,COVER,FAV,23.39,-3.21,fpi_ratings_2043_wk4.csv,False
2043,6,Devin,Bowling Green,Ole Miss,HOME,49,10,39,12.7,26.3,COVER,FAV,25.2,10.22,fpi_ratings_2043_wk6.csv,False
2043,7,Devin,Bowling Green,Miami,AWAY,42,17,25,2.4,22.6,COVER,FAV,27.56,19.25,fpi_ratings_2043_wk7.csv,False
2043,8,Devin,Bowling Green,Oklahoma,HOME,49,9,40,17.7,22.3,COVER,FAV,29.6,6.98,fpi_ratings_2043_wk8.csv,False
2043,9,Devin,Bowling Green,Wyoming,AWAY,49,10,39,13.6,25.4,COVER,FAV,30.12,4.58,fpi_ratings_2043_wk9.csv,False
2043,10,Devin,Bowling Green,LSU,HOME,56,12,44,22.9,21.1,COVER,FAV,30.03,-0.53,fpi_ratings_2043_wk10.csv,False
2043,11,Devin,Bowling Green,Florida State,HOME,34,35,-1,6.8,-7.8,MISS,FAV,29.62,23.73,fpi_ratings_2043_wk11.csv,True
2042,1,Doug,Florida,Washington,HOME,56,21,35,3.0,32.0,COVER,FAV,0.0,0.0,none,False
2042,2,Doug,Florida,NC State,HOME,43,26,17,3.0,14.0,COVER,FAV,0.0,0.0,none,False
2042,4,Doug,Florida,Texas,HOME,38,35,3,3.0,0.0,PUSH,FAV,0.0,0.0,none,False
2042,5,Doug,Florida,Bowling Green,AWAY,38,56,-18,-3.0,-15.0,MISS,DOG,0.0,0.0,none,True
2042,6,Doug,Florida,Oklahoma State,HOME,56,49,7,3.0,4.0,COVER,FAV,0.0,0.0,none,False
2042,7,Doug,Florida,Ole Miss,AWAY,41,45,-4,-3.0,-1.0,MISS,DOG,0.0,0.0,none,False
2042,8,Doug,Florida,Tennessee,AWAY,38,23,15,4.4,10.6,COVER,FAV,8.82,-2.61,fpi_ratings_2042_wk8.csv,False
2042,9,Doug,Florida,Alabama,HOME,31,20,11,7.2,3.8,COVER,FAV,9.83,3.31,fpi_ratings_2042_wk9.csv,False
2042,10,Doug,Florida,Iowa,AWAY,42,3,39,9.6,29.4,COVER,FAV,9.83,-9.52,fpi_ratings_2042_wk9.csv,False
2042,11,Doug,Florida,LSU,AWAY,48,17,31,-10.4,41.4,COVER,DOG,9.83,21.24,fpi_ratings_2042_wk9.csv,False
2042,12,Doug,Florida,Wyoming,HOME,34,21,13,9.2,3.8,COVER,FAV,9.83,0.34,fpi_ratings_2042_wk9.csv,False
2042,14,Doug,Florida,Florida State,AWAY,24,28,-4,-4.6,0.6,COVER,DOG,13.33,15.75,fpi_ratings_2042_wk13.csv,True
2042,17,Doug,Florida,Georgia Tech,AWAY,35,38,-3,-3.8,0.8,COVER,DOG,13.33,14.57,fpi_ratings_2042_wk13.csv,False
2043,1,Doug,Florida,Rapid City,AWAY,31,21,10,8.3,1.7,COVER,FAV,4.56,-12.77,fpi_ratings_2043_wk1.csv,False
2043,2,Doug,Florida,Indiana,HOME,42,24,18,12.1,5.9,COVER,FAV,5.0,-8.96,fpi_ratings_2043_wk2.csv,False
2043,3,Doug,Florida,Iowa,AWAY,48,7,41,4.4,36.6,COVER,FAV,5.0,-6.46,fpi_ratings_2043_wk3.csv,False
2043,4,Doug,Florida,Washington,HOME,42,14,28,5.0,23.0,COVER,FAV,13.47,10.42,fpi_ratings_2043_wk4.csv,False
2043,5,Doug,Florida,Illinois,AWAY,52,7,45,13.6,31.4,COVER,FAV,17.58,-7.89,fpi_ratings_2043_wk5.csv,False
2043,6,Doug,Florida,USC,HOME,35,23,12,23.3,-11.3,MISS,FAV,19.56,-11.64,fpi_ratings_2043_wk6.csv,False
2043,8,Doug,Florida,San Jose State,HOME,28,69,-41,2.5,-43.5,MISS,FAV,17.34,18.1,fpi_ratings_2043_wk8.csv,True
2043,9,Doug,Florida,Penn State,AWAY,69,20,49,2.8,46.2,COVER,FAV,12.14,3.2,fpi_ratings_2043_wk9.csv,False
2043,10,Doug,Florida,Georgia,HOME,56,10,46,10.8,35.2,COVER,FAV,14.47,2.4,fpi_ratings_2043_wk10.csv,False
2043,11,Doug,Florida,Wisconsin,AWAY,34,20,14,2.1,11.9,COVER,FAV,15.79,7.93,fpi_ratings_2043_wk11.csv,False
2042,1,Josh,USF,Hammond,AWAY,77,24,53,-3.0,56.0,COVER,DOG,0.0,0.0,none,False
2042,2,Josh,USF,Arkansas,HOME,56,16,40,3.0,37.0,COVER,FAV,0.0,0.0,none,False
2042,3,Josh,USF,Oklahoma,HOME,49,0,49,3.0,46.0,COVER,FAV,0.0,0.0,none,False
2042,4,Josh,USF,San Jose State,AWAY,23,28,-5,-3.0,-2.0,MISS,DOG,0.0,0.0,none,True
2042,6,Josh,USF,Indiana,HOME,77,14,63,3.0,60.0,COVER,FAV,0.0,0.0,none,False
2042,7,Josh,USF,Nebraska,AWAY,56,31,25,-3.0,28.0,COVER,DOG,0.0,0.0,none,False
2042,8,Josh,USF,Michigan,HOME,52,14,38,8.0,30.0,COVER,FAV,23.25,15.6,fpi_ratings_2042_wk8.csv,False
2042,9,Josh,USF,Michigan State,AWAY,56,19,37,10.1,26.9,COVER,FAV,24.62,4.53,fpi_ratings_2042_wk9.csv,False
2042,11,Josh,USF,Minnesota,HOME,49,10,39,26.4,12.6,COVER,FAV,24.62,-11.37,fpi_ratings_2042_wk9.csv,False
2042,13,Josh,USF,Maryland,AWAY,90,10,80,21.9,58.1,COVER,FAV,22.21,-16.16,fpi_ratings_2042_wk13.csv,False
2042,14,Josh,USF,Penn State,HOME,52,35,17,12.6,4.4,COVER,FAV,22.21,7.47,fpi_ratings_2042_wk13.csv,False
2042,17,Josh,USF,Nebraska,HOME,53,42,11,13.3,-2.3,MISS,FAV,22.21,6.37,fpi_ratings_2042_wk13.csv,False
2042,18,Josh,USF,Texas Tech,AWAY,46,43,3,-3.7,6.7,COVER,DOG,22.21,23.32,fpi_ratings_2042_wk13.csv,True
2042,19,Josh,USF,Florida State,HOME,43,31,12,7.2,4.8,COVER,FAV,22.21,15.75,fpi_ratings_2042_wk13.csv,True
2042,20,Josh,USF,Bowling Green,HOME,21,35,-14,3.5,-17.5,MISS,FAV,22.21,21.4,fpi_ratings_2042_wk13.csv,True
2043,1,Josh,USF,NC State,HOME,42,35,7,6.5,0.5,COVER,FAV,-1.44,-6.77,fpi_ratings_2043_wk1.csv,False
2043,2,Josh,USF,USC,HOME,63,21,42,25.1,16.9,COVER,FAV,9.39,-24.55,fpi_ratings_2043_wk2.csv,False
2043,3,Josh,USF,Nebraska,AWAY,49,17,32,-9.2,41.2,COVER,DOG,9.39,18.94,fpi_ratings_2043_wk3.csv,False
2043,5,Josh,USF,Georgia,AWAY,49,14,35,14.1,20.9,COVER,FAV,20.7,-5.67,fpi_ratings_2043_wk5.csv,False
2043,6,Josh,USF,Missouri,HOME,49,13,36,22.0,14.0,COVER,FAV,20.97,-8.23,fpi_ratings_2043_wk6.csv,False
2043,7,Josh,USF,Texas A&M,HOME,44,27,17,4.7,12.3,COVER,FAV,21.78,19.22,fpi_ratings_2043_wk7.csv,False
