Team,Player,Pos,Class,Year,OVR,Reason,ReasonDetail,TransferStatus,Persuaded,User
Bowling Green,A.Poljan,LEDG,FR,2041,74,Transfer,Playing Time,Leaving,No,Devin
Bowling Green,D.Terrill,WR,JR (RS),2041,77,Transfer,Playing Time,Leaving,No,Devin
Bowling Green,I.Guidugli,RT,FR (RS),2041,83,Transfer,Pro Potential,Leaving,No,Devin
Bowling Green,J.Cribbs,QB,FR (RS),2041,77,Transfer,Proximity To Home,Leaving,No,Devin
Bowling Green,M.Scales,QB,FR,2041,65,Transfer,Playing Time,Leaving,No,Devin
Bowling Green,N.Murphey,CB,JR (RS),2041,75,Transfer,Playing Time,Leaving,No,Devin
Florida,B.Goodley,LT,FR,2041,65,Transfer,Pro Potential,Staying,Yes,Doug
Florida,C.Punga,QB,JR (RS),2041,74,Transfer,Playing Time,Leaving,No,Doug
Florida,D.Buechele,P,FR (RS),2041,82,Transfer,Pro Potential,Leaving,No,Doug
Florida,E.Oruwariye,WILL,FR,2041,76,Transfer,Playing Style,Leaving,No,Doug
Florida,I.Duggan,WR,SO,2041,74,Transfer,Pro Potential,Leaving,No,Doug
Florida,J.Bryant,WILL,JR (RS),2041,86,Transfer,Playing Style,Leaving,No,Doug
Florida,L.Seumalo,QB,FR,2041,66,Transfer,Playing Time,Leaving,No,Doug
Florida,R.Aquino,LEDG,FR (RS),2041,81,Transfer,Playing Style,Leaving,No,Doug
Florida,R.Yusaf,QB,JR (RS),2041,67,Transfer,Playing Time,Leaving,No,Doug
Florida,S.Ivie,LEDG,FR (RS),2041,80,Transfer,Playing Style,Leaving,No,Doug
Florida State,J.Small,CB,JR (RS),2041,75,Transfer,Playing Style,Leaving,No,Nick
Florida State,J.Sorenson,FS,FR,2041,76,Transfer,Playing Style,Staying,Yes,Nick
Florida State,M.Colman,CB,FR,2041,74,Transfer,Playing Style,Leaving,No,Nick
San Jose State,B.Kowalkowski,CB,FR,2041,60,Transfer,Playing Time,Leaving,No,Mike
San Jose State,C.Ancrum,WR,FR,2041,76,Transfer,Playing Style,Staying,Yes,Mike
San Jose State,C.Godwin,QB,FR,2041,66,Transfer,Playing Time,Staying,Yes,Mike
