YEAR,TEAM,BLUE CHIP PERCENTAGE
2042,Air Force,0
2042,Akron,0
2042,Alabama,50
2042,Alabaster,38
2042,Appalachian State,0
2042,Arizona,0
2042,Arizona State,15
2042,Arkansas,22
2042,Arkansas State,0
2042,Army,0
2042,Auburn,32
2042,Ball State,0
2042,Baylor,21
2042,Boise State,9
2042,Boston College,3
2042,Bowling Green,55
2042,BYU,3
2042,California,2
2042,Central Michigan,0
2042,Charlotte,0
2042,Cincinnati,0
2042,Clemson,69
2042,Coastal Carolina,0
2042,Colorado,3
2042,Colorado State,1
2042,Death Valley,18
2042,Delaware,0
2042,Duke,11
2042,East Carolina,0
2042,Eastern Michigan,0
2042,Florida,30
2042,Florida International,0
2042,Florida State,43
2042,Fresno State,0
2042,Gate City,2
2042,Georgia,78
2042,Georgia Southern,0
2042,Georgia State,0
2042,Georgia Tech,37
2042,Hammond,44
2042,Hawai'i,0
2042,Houston,4
2042,Illinois,2
2042,Indiana,11
2042,Iowa,12
2042,Iowa State,0
2042,Jacksonville State,0
2042,James Madison,0
2042,Kansas,0
2042,Kansas State,0
2042,Kennesaw State,0
2042,Kent State,0
2042,Kentucky,4
2042,Liberty,0
2042,Louisiana,0
2042,Louisiana Tech,0
2042,Louisville,0
2042,LSU,43
2042,Marshall,0
2042,Maryland,9
2042,Massachusetts,0
2042,Memphis,0
2042,Miami,67
2042,Miami University,0
2042,Michigan,67
2042,Michigan State,0
2042,Middle Tennessee,0
2042,Minnesota,0
2042,Mississippi State,0
2042,Missouri,8
2042,Missouri State,0
2042,Navy,0
2042,NC State,30
2042,Nebraska,94
2042,New Mexico State,0
2042,North Carolina,15
2042,North Texas,1
2042,Northwestern,0
2042,Notre Dame,45
2042,Ohio,0
2042,Ohio State,82
2042,Oklahoma,48
2042,Oklahoma State,17
2042,Old Dominion,0
2042,Ole Miss,35
2042,Oregon,34
2042,Oregon State,0
2042,Panama City,21
2042,Penn State,55
2042,Pittsburgh,10
2042,Purdue,2
2042,Rapid City,55
2042,Rice,1
2042,Rutgers,0
2042,Sam Houston,0
2042,San Diego State,12
2042,San Jose State,20
2042,SMU,23
2042,South Alabama,0
2042,South Carolina,0
2042,Southern Mississippi,3
2042,Stanford,8
2042,Syracuse,4
2042,TCU,27
2042,Temple,0
2042,Tennessee,24
2042,Texas,62
2042,Texas A&M,30
2042,Texas State,0
2042,Texas Tech,45
2042,Toledo,0
2042,Troy,0
2042,Tulane,3
2042,Tulsa,1
2042,UCF,0
2042,UCLA,20
2042,UConn,0
2042,UL Monroe,0
2042,UNLV,0
2042,USC,61
2042,USF,41
2042,Utah,1
2042,Utah State,0
2042,UTEP,0
2042,UTSA,0
2042,Vanderbilt,0
2042,Virginia,0
2042,Virginia Tech,12
2042,Wake Forest,0
2042,Washington,48
2042,Washington State,0
2042,West Virginia,24
2042,Western Kentucky,0
2042,Western Michigan,0
2042,Wisconsin,15
2042,Wyoming,49
