Season,Team,Name,Year,Pos,OVR,SPD,ACC,AGI,COD,STR,AWR,REDSHIRT
2041,Bowling Green,Z.Kolodziej,SR (RS),DT,94,68,77,62,67,97,93,0
2041,Bowling Green,S.Wragge,SR (RS),REDG,92,76,86,75,73,89,95,0
2041,Bowling Green,F.Drango,JR (RS),QB,91,88,95,90,91,63,91,0
2041,Bowling Green,C.Isaacs,SR (RS),HB,90,99,98,94,88,67,77,0
2041,Bowling Green,M.Mahelona,JR,TE,90,80,84,75,74,82,82,0
2041,Bowling Green,P.McManis,SR,WILL,89,87,90,80,79,79,89,0
2041,Bowling Green,J.Hicks,SR (RS),SAM,87,82,89,85,79,79,89,0
2041,Bowling Green,I.Guidugli,FR (RS),RT,87,63,72,71,57,81,83,0
2041,Bowling Green,J.Poe,SO,RG,87,63,76,73,51,85,85,0
2041,Bowling Green,S.Figurs,FR (RS),WILL,86,89,94,88,86,80,77,0
2041,Bowling Green,E.Grubbs,SO,C,86,63,77,86,69,91,87,0
2041,Bowling Green,B.Franco,SR (RS),DT,86,78,86,78,62,89,84,0
2041,Bowling Green,G.Murphey,JR (RS),RT,85,65,71,88,62,91,85,0
2041,Bowling Green,K.Demercado,JR (RS),WR,85,88,89,92,77,84,84,0
2041,Bowling Green,M.Winston,SR,DT,85,74,80,75,64,90,80,0
2041,Bowling Green,D.Jones,JR,TE,85,72,78,75,69,82,70,0
2041,Bowling Green,G.Markuck,JR,RG,84,72,84,70,51,92,62,0
2041,Bowling Green,H.Cooke,SO,FS,83,92,94,91,92,58,72,0
2041,Bowling Green,B.Regis,JR,LEDG,82,69,79,73,66,90,79,0
2041,Bowling Green,D.Head,FR,LT,82,73,80,71,58,84,71,0
2041,Bowling Green,M.Garrison,JR (RS),P,82,69,71,76,58,35,76,0
2041,Bowling Green,D.Boss,JR (RS),SS,82,86,80,84,78,70,81,0
2041,Bowling Green,B.Truman,JR (RS),LT,82,58,76,86,76,81,78,0
2041,Bowling Green,A.Mills,SO,LEDG,82,85,86,80,67,78,74,0
2041,Bowling Green,N.Salazar,JR (RS),CB,81,94,98,94,99,59,65,0
2041,Bowling Green,J.McNitt,SO (RS),RG,81,55,66,77,62,81,79,0
2041,Bowling Green,G.Ghee,SO (RS),WILL,81,78,87,87,82,79,72,0
2041,Bowling Green,O.Rahman,SO (RS),SS,81,86,87,79,77,63,75,0
2041,Bowling Green,N.Kellum,JR (RS),WILL,81,82,92,87,86,78,79,0
2041,Bowling Green,A.Hatchett,SR,MIKE,81,79,89,67,81,82,83,0
2041,Bowling Green,C.Reaves,SR (RS),REDG,81,76,85,84,60,73,79,0
2041,Bowling Green,C.Carden,JR (RS),CB,80,86,90,88,99,53,79,0
2041,Bowling Green,M.Stevens,FR,WILL,80,80,91,76,81,84,76,0
2041,Bowling Green,T.Dugger,SO (RS),LEDG,80,63,77,67,55,88,76,0
2041,Bowling Green,B.Song,JR (RS),K,80,70,71,73,61,27,74,0
2041,Bowling Green,L.Trainer,SR,DT,79,59,77,63,47,90,72,0
2041,Bowling Green,M.Ebukam,FR,HB,79,87,88,87,85,77,71,0
2041,Bowling Green,S.Fogg,FR,LT,79,70,76,70,51,82,70,0
2041,Bowling Green,L.Smalls,FR (RS),FS,79,91,91,90,90,56,69,0
