YEAR,TEAM,NAME,POS,YEAR_CLASS,OVR,SPD,ACC,AGI,COD,STR,AWR,THP,THV,THA,THS,TRL,ELU,CAR,CTH,SPC,RLS,MCV,ZCV,PRC,TAK,POW,BKB,BLK,PBK,RBK
2042,Air Force,W.Allgeier,K,SR (RS),88,72,73,74,54,30,84,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,H.Lester,TE,SR (RS),87,75,79,73,73,82,74,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,E.Vargas,WILL,SR,86,82,90,77,81,88,83,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,N.Kranchick,QB,JR (RS),86,85,89,91,90,57,75,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,A.Lorenzo,REDG,FR (RS),83,84,87,83,68,94,75,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,Q.Ezeudu,K,JR (RS),82,71,69,72,61,35,74,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,C.Doolittle,FS,SR (RS),81,86,90,82,94,72,72,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,D.Mama,P,SO (RS),80,70,70,75,61,38,76,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,T.Ashe,SAM,SR,79,80,90,73,75,79,78,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,C.Scruggs,WILL,JR (RS),78,77,80,80,78,72,79,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,T.Bierria,CB,SR (RS),78,86,87,82,99,56,66,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,D.Gainwell,HB,SO,78,91,91,90,91,68,68,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,S.Otis,SS,JR (RS),77,86,88,78,94,68,70,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,T.Hamm,RG,JR (RS),77,67,78,80,74,91,78,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,D.Terrill,WR,SR (RS),77,88,83,90,83,72,86,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,I.Talbot,C,SR,76,78,84,77,56,88,65,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,D.Lord,P,JR (RS),76,70,71,74,59,37,70,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,K.Spillman,WR,JR,75,85,88,86,84,67,72,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,M.Smith,CB,SO (RS),75,88,92,90,92,56,73,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0
2042,Air Force,A.LaPorta,DT,SO,74,59,73,64,50,89,61,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,C.Durbin,P,SR (RS),85,70,72,72,47,30,80,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,J.Foster,K,SR,82,66,70,75,62,29,76,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
