YEAR,TEAM,OVR,OFF,DEF,NAME,POS,YEAR_CLASS,SPD,ACC,AGI,COD,STR,AWR,THP,THV,THA,THS,TRL,ELU,CAR,CTH,SPC,RLS,MCV,ZCV,PRC,TAK,POW,BKB,BLK,PBK,RBK,BCV
2043,Air Force,73,,,R.Garnes,HB,SR (RS),84,92,82,85,68,73,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,73,,,D.Brents,SAM,SO (RS),73,88,82,82,81,74,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,74,,,S.Angel,LEDG,JR (RS),82,87,79,66,87,71,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,74,,,D.Ridley,DT,SR,59,72,70,50,86,70,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,74,,,D.Jerman,SAM,JR,82,91,71,77,82,70,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,75,,,R.Armour,C,JR,67,77,73,45,88,68,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,75,,,S.Burgess,HB,FR (RS),85,92,85,78,81,69,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,75,,,S.Ayanbadejo,WILL,JR (RS),75,81,84,76,72,77,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,75,,,J.Callow,LG,JR (RS),51,75,74,58,76,77,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,75,,,K.Bunting,CB,JR (RS),89,90,88,88,58,78,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,76,,,A.Hundley,WR,SR,84,86,85,82,59,78,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,76,,,J.Hix,QB,JR (RS),81,89,94,91,55,66,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,76,,,L.Robert,MIKE,JR,85,91,82,81,76,74,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,76,,,A.Castonzo,REDG,JR (RS),81,87,83,67,86,73,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,77,,,D.Lord,P,SR (RS),70,71,74,59,37,70,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,77,,,T.Hamm,RG,SR (RS),67,78,82,76,91,78,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,77,,,M.Smith,CB,JR (RS),88,92,90,96,56,75,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,77,,,K.Finley,REDG,JR (RS),77,84,80,66,80,74,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,78,,,L.Stai,TE,SR (RS),84,84,82,69,78,66,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,79,,,S.Otis,SS,SR (RS),86,88,78,96,68,72,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,80,,,K.Spillman,WR,SR,85,88,91,89,69,82,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,80,,,A.LaPorta,DT,JR,65,79,67,50,89,67,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,80,,,T.Price,QB,FR (RS),87,88,86,86,56,67,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,81,,,D.Mama,P,JR (RS),70,70,75,61,38,79,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,81,,,C.Plummer,K,SR (RS),73,70,73,56,33,71,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,82,,,Q.Ezeudu,K,SR (RS),71,69,72,61,35,74,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,84,,,T.Massey,MIKE,SR (RS),87,92,87,85,81,81,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,84,,,R.Maples,HB,FR (RS),88,91,97,96,66,75,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,85,,,A.Lorenzo,REDG,SO (RS),85,89,85,68,94,77,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Air Force,87,,,N.Kranchick,QB,SR (RS),90,93,93,92,57,79,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Akron,70,,,E.Torrence,DT,SR,67,77,64,67,89,66,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Akron,70,,,J.Frost,CB,SO (RS),85,89,87,99,53,80,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Akron,71,,,B.Bridge,LEDG,SR (RS),82,82,78,68,82,73,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Akron,71,,,J.Foxworth,HB,FR (RS),83,90,76,75,72,66,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,
2043,Akron,71,,,T.Crisp,REDG,SR (RS),65,73,72,69,80,69,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,
