DraftYear,Player,CollegeTeam,CollegeUser,Pos,Class,OVR,DraftRound
2041,B. Henery,Texas Tech,Noah,HB,JR (RS),98,1
2041,K. McCallister,Florida,Doug,HB,JR (RS),94,2
2041,Z. Kolodziej,Bowling Green,Devin,DT,SR (RS),92,3
2041,P. Day,Florida State,Nick,FS,SR (RS),91,4
2041,I. John,Florida,Doug,HB,SR,91,5
2041,J. Sturm,Florida State,Nick,HB,SR,91,5
2041,S. Wragge,Bowling Green,Devin,REDG,SR (RS),90,6
2041,J. Fe'esago,Florida State,Nick,WR,SO (RS),90,6
2041,D. Graves,Texas Tech,Noah,WR,SR (RS),89,7
2041,N. McCullough,Texas Tech,Noah,TE,SR (RS),89,7
2041,R. Hitchens,USF,Josh,TE,SR (RS),90,7
2041,T. Emery,USF,Josh,FS,SR (RS),89,7
2041,M. Moody,Florida,Doug,SAM,SR (RS),90,7
2041,D. Bickley,Florida State,Nick,CB,SR (RS),89,7
2042,N. Hendricks,West Virginia,,HB,JR (RS),99,1
2042,V. Sims,West Virginia,,TE,SR (RS),98,1
2042,S. Piscitelli,Alabama,,TE,SR,98,1
2042,T. Perkins,San Jose State,Mike,LG,SR (RS),98,1
2042,P. Dowtin,Georgia,,RT,SR (RS),97,1
2042,T. Sherry,Ohio State,,WR,SO (RS),97,1
2042,Z. Goodman,Rapid City,,RT,SR (RS),97,1
2042,J. Rourke,USC,,CB,SR (RS),97,1
2042,D. Gee,Georgia,,WILL,SR (RS),96,1
2042,D. Schweitzer,Nebraska,,RT,SR (RS),96,1
2042,J. Paul,Nebraska,,SAM,SR (RS),96,1
2042,C. DeBose,Nebraska,,CB,SR,96,1
2042,C. Potts,Notre Dame,,WR,JR (RS),96,1
2042,C. Potts,Notre Dame Fighting Irish,,WR,JR (RS),96,1
2042,L. Tavares,Oregon,,RG,SR (RS),96,1
2042,M. McCauley,TCU,,MIKE,SR (RS),96,1
2042,K. Sturm,Texas,,WR,JR (RS),96,1
2042,A. Rossouw,Texas Tech,Noah,MIKE,JR,96,1
2042,B. Azur,Georgia Tech,,QB,JR (RS),95,1
2042,J. Adams,Miami,,LT,SR,95,1
2042,F. Tautu,Miami,,DT,SR (RS),95,1
2042,D. Rossouw,Michigan,,RT,JR (RS),95,1
2042,D. DaSilva,Ohio State,,LG,SR (RS),95,1
2042,P. Beard,Texas State,,WILL,SR (RS),95,1
2042,R. Poole,Texas Tech,Noah,QB,JR (RS),95,1
2042,F. McDonnell,Wyoming,,CB,SR (RS),95,1
2042,E. Williams,Alabama,,QB,SR (RS),95,1
2042,R. Rossi,Auburn,,QB,SR (RS),95,1
2042,F. Drango,Bowling Green,Devin,QB,SR (RS),95,1
2042,J. Nash,Florida State,Nick,WR,SR,95,1
2042,J. McCleod,Nebraska,,C,SR (RS),94,1
2042,D. Carraway,Nebraska,,REDG,SR (RS),93,1
2042,N. Brink,Penn State,,LEDG,SR (RS),93,1
2042,J. Crouch,Notre Dame,,RT,SR,95,2
2042,J. Crouch,Notre Dame Fighting Irish,,RT,SR,95,2
2042,N. DiMarco,Oklahoma,,RG,SR (RS),95,2
2042,R. Ringo,Texas,,RT,SR,95,2
2042,T. Bethea,USF,Josh,QB,JR (RS),95,2
2042,K. Alston,Bowling Green,Devin,HB,SO (RS),95,2
2042,M. Mahelona,Bowling Green,Devin,TE,SR,95,2
2042,L. Bohanon,Florida State,Nick,HB,SR,95,2
2042,E. Weber,Florida State,Nick,WILL,SR (RS),95,2
