DraftYear,Player,CollegeTeam,CollegeUser,Pos,Class,OVR,DraftRound
2041,B. Henery,Texas Tech,Noah,HB,JR (RS),98,1
2041,D. Graves,Texas Tech,Noah,WR,SR (RS),89,7
2041,N. McCullough,Texas Tech,Noah,TE,SR (RS),89,7
2041,R. Hitchens,USF,Josh,TE,SR (RS),90,7
2041,T. Emery,USF,Josh,FS,SR (RS),89,7
2041,Z. Kolodziej,Bowling Green,Devin,DT,SR (RS),92,3
2041,S. Wragge,Bowling Green,Devin,REDG,SR (RS),90,6
2041,K. McCallister,Florida,Doug,HB,JR (RS),94,2
2041,I. John,Florida,Doug,HB,SR,91,5
2041,M. Moody,Florida,Doug,SAM,SR (RS),90,7
2041,P. Day,Florida State,Nick,FS,SR (RS),91,4
2041,J. Sturm,Florida State,Nick,HB,SR,91,5
2041,J. Fe'esago,Florida State,Nick,WR,SO (RS),90,6
2041,D. Bickley,Florida State,Nick,CB,SR (RS),89,7
