YEAR,WEEK,RANK,TEAM,RECORD
2042,4,1.0,Rapid City,3-0
2042,4,2.0,Bowling Green,3-0
2042,4,3.0,San Jose State,3-0
2042,4,4.0,Texas Tech,3-0
2042,4,5.0,Notre Dame,3-0
2042,4,6.0,USF,3-0
2042,4,7.0,Texas A&M,3-0
2042,4,8.0,Georgia,2-1
2042,4,9.0,Texas,1-1
2042,4,10.0,Oregon,2-0
2042,4,11.0,Nebraska,2-1
2042,4,12.0,Michigan,2-0
2042,4,13.0,Clemson,1-1
2042,4,14.0,Florida,2-0
2042,4,15.0,Miami,
2042,4,15.0,Florida State,1-1
2042,4,16.0,UCLA,
2042,4,16.0,USC,1-0
2042,4,17.0,Iowa State,
2042,4,17.0,Virginia Tech,2-0
2042,4,18.0,FSU,
2042,4,18.0,Oklahoma State,3-0
2042,4,19.0,Ole Miss,2-0
2042,4,20.0,Minnesota,
2042,4,20.0,Penn State,2-1
2042,4,21.0,Kentucky,
2042,4,21.0,Hammond,1-2
2042,4,22.0,Auburn,2-1
2042,4,23.0,Fresno State,
2042,4,23.0,Washington,2-1
2042,4,24.0,Arkansas,
2042,4,24.0,Wyoming,3-0
2042,4,25.0,Georgia Tech,1-1
2042,5,1.0,San Jose State,4-0
2042,5,2.0,Rapid City,4-0
2042,5,3.0,Bowling Green,4-0
2042,5,4.0,Texas Tech,4-0
2042,5,5.0,Notre Dame,4-0
2042,5,6.0,Texas A&M,4-0
2042,5,7.0,Georgia,2-0
2042,5,8.0,Florida,2-1
2042,5,9.0,Nebraska,2-1
2042,5,10.0,Michigan,3-0
2042,5,11.0,USF,3-1
2042,5,12.0,Florida State,2-1
2042,5,13.0,USC,2-1
2042,5,14.0,Texas,1-2
2042,5,15.0,Oklahoma State,3-0
2042,5,16.0,Ole Miss,3-0
2042,5,17.0,Auburn,3-1
2042,5,18.0,Oregon,2-1
2042,5,19.0,Penn State,3-1
2042,5,20.0,Hammond,2-2
2042,5,21.0,Clemson,1-2
2042,5,22.0,Wyoming,4-0
2042,5,23.0,BYU,2-0
2042,5,24.0,Georgia Tech,2-1
2042,5,25.0,Alabama,4-0
