YEAR,CONFERENCE,CONF_RANK,TEAM,W,L,CONF_W,CONF_L,PF,PA,USER,DIFF,MOV,HOME,AWAY,STK,WEEK
2042,ACC,1,Pittsburgh,5,0,1,0,188,93,,95,19.0,3-0,2-0,5,7
2042,ACC,2,Georgia Tech,4,1,2,0,276,127,,149,29.8,3-0,1-0,4,7
2042,ACC,3,Virginia Tech,3,1,1,0,138,60,,78,19.5,2-1,1-0,1,7
2042,ACC,4,North Carolina,3,1,1,0,188,139,,49,12.3,2-0,1-1,3,7
2042,ACC,5,Miami,5,1,3,0,251,114,,137,22.8,4-0,1-0,5,7
2042,ACC,6,California,2,3,1,0,143,146,,-3,-0.6,2-0,0-3,1,7
2042,ACC,7,Clemson,2,3,1,1,258,161,,97,19.4,1-1,1-1,-1,7
2042,ACC,8,Duke,4,1,1,1,168,111,,57,11.4,2-1,2-0,1,7
2042,ACC,9,Louisville,3,2,1,1,151,117,,34,6.8,1-1,2-1,-1,7
2042,ACC,10,Syracuse,3,3,1,1,160,199,,-39,-6.5,1-3,2-0,-1,7
2042,ACC,11,NC State,1,4,1,1,142,173,,-31,-6.2,0-0,1-3,1,7
2042,ACC,12,SMU,4,1,0,1,193,105,,88,17.6,4-0,0-1,-1,7
2042,ACC,13,UCF,4,1,0,1,226,106,,120,24.0,2-1,2-0,-1,7
2042,ACC,14,Stanford,2,3,0,2,220,198,,22,4.4,2-1,0-2,-2,7
2042,ACC,15,Arkansas,1,4,0,2,137,207,,-70,-14.0,1-1,0-2,-2,7
2042,ACC,16,Vanderbilt,3,1,0,1,144,139,,5,1.3,1-1,2-0,-1,7
2042,ACC,17,Boston College,2,3,0,2,138,129,,9,1.8,2-1,0-2,-2,7
2042,ACC,18,Pittsburg,3,0,0,0,126,41,,85,28.3,2-00,1-00,0,4
2042,American,1,Wake Forest,5,0,2,0,178,105,,73,14.6,2-0,3-0,5,7
2042,American,2,Tulsa,4,2,3,0,233,230,,3,0.5,2-2,2-0,3,7
2042,American,3,Tulane,5,1,3,0,245,174,,71,11.8,3-0,2-1,5,7
2042,American,4,Army,2,2,1,0,102,118,,-16,-4.0,2-1,0-1,2,7
2042,American,5,Navy,5,1,2,1,226,114,,112,18.7,2-1,3-0,1,7
2042,American,6,East Carolina,5,1,1,1,226,142,,84,14.0,4-0,1-1,-1,7
2042,American,7,UCLA,4,1,1,1,168,115,,53,10.6,2-0,2-1,-1,7
2042,American,8,Charlotte,3,2,1,1,221,189,,32,6.4,2-1,1-1,2,7
2042,American,9,Temple,3,3,1,1,209,206,,3,0.5,3-0,0-3,1,7
2042,American,10,North Texas,3,2,0,2,137,106,,31,6.2,3-1,0-1,-2,7
2042,American,11,Memphis,2,3,0,2,160,164,,-4,-0.8,2-0,0-3,-2,7
2042,American,12,UTSA,2,4,0,2,200,238,,-38,-6.3,2-3,0-1,-1,7
2042,American,13,Virginia,2,3,0,2,189,172,,17,3.4,2-2,0-1,1,7
2042,American,14,Rice,1,4,0,2,110,182,,-72,-14.4,1-1,0-3,-4,7
2042,Big 12,1,Rapid City,5,0,3,0,262,124,,138,27.6,4-0,1-0,5,7
2042,Big 12,2,Hammond,4,2,3,0,214,159,,55,9.2,1-2,3-0,4,7
2042,Big 12,3,Oklahoma State,4,1,2,0,227,145,,82,16.4,2-0,2-1,-1,7
2042,Big 12,4,BYU,4,0,3,0,171,48,,123,30.8,1-0,3-0,4,7
2042,Big 12,5,Death Valley,5,0,3,0,269,126,,143,28.6,2-0,3-0,5,7
2042,Big 12,6,Arizona State,4,2,2,1,241,135,,106,17.7,2-2,2-0,1,7
2042,Big 12,7,Panama City,4,1,1,1,220,83,,137,27.4,4-0,0-1,3,7
2042,Big 12,8,Kansas State,2,3,1,1,123,153,,-30,-6.0,2-2,0-1,1,7
2042,Big 12,9,Colorado,2,3,1,1,109,186,,-77,-15.4,1-2,1-1,1,7
2042,Big 12,10,Baylor,4,2,1,2,217,145,,72,12.0,3-1,1-1,1,7
