DraftYear,DraftRank,Player,CollegeTeam,Pos,PosBucket,Class,OVR,SPD,ACC,AGI,COD,STR,AWR,DraftValueScore,DraftRound
2042,1,C.Carlyle,Duke,QB,QB,SR (RS),99,86,93,96,93,71,90,107.6,1
2042,2,J.Russo,Clemson,QB,QB,SR (RS),99,80,87,99,98,67,90,107.47,1
2042,3,K.Lobato,Oklahoma,WILL,LB,SR,99,86,89,83,80,86,91,102.59,1
2042,4,T.DeMar,TCU,MIKE,LB,SR (RS),99,83,92,86,84,80,93,102.21,1
2042,5,B.Dyson,Maryland,MIKE,LB,SR,99,94,97,89,84,85,84,102.03,1
2042,6,M.Baggs,Nebraska,WR,WR,SR (RS),98,91,95,99,95,84,99,108.06,1
2042,7,P.Egbule,Baylor,WR,WR,SR,98,91,88,96,94,70,90,107.4,1
2042,8,K.Cordero,Miami,LEDG,EDGE,SR (RS),98,89,99,78,59,93,88,105.71,1
2042,9,M.Gannon,Nebraska,C,OL,SR (RS),98,65,95,99,87,94,91,103.95,1
2042,10,D.Bercovici,Miami,LG,OL,SR (RS),98,82,98,90,53,85,93,103.93,1
2042,11,Z.McNown,Michigan,WILL,LB,SR (RS),98,90,97,89,89,89,87,101.31,1
2042,12,T.Gales,UCLA,TE,TE,SR (RS),98,75,75,70,73,77,84,97.12,1
2042,13,M.Huber,Wyoming,QB,QB,SR (RS),97,91,87,91,87,63,92,105.79,1
2042,14,B.Hawkinson,Nebraska,LEDG,EDGE,SR (RS),97,87,92,91,65,99,91,105.26,1
2042,15,A.Dennis,Penn State,REDG,EDGE,SR (RS),97,92,91,93,68,88,91,104.71,1
2042,16,J.Lamp,Miami,DT,IDL,SR,97,76,89,82,67,97,89,102.28,1
2042,17,J.Cutrera,Oklahoma,MIKE,LB,SR (RS),97,87,93,80,86,87,91,100.76,1
2042,18,E.Quinton,Rapid City,DT,IDL,SR (RS),97,78,91,74,47,99,79,100.71,1
2042,19,E.Cominsky,Penn State,WILL,LB,SR (RS),97,88,93,83,78,82,91,100.53,1
2042,20,S.Pullard,Miami,TE,TE,SR,97,83,84,86,75,85,80,97.56,1
2042,21,J.Biggers,Georgia,QB,QB,SR,96,97,92,98,94,64,89,105.68,1
2042,22,C.Santiago,Washington State,QB,QB,SR (RS),96,91,92,97,94,58,91,105.39,1
2042,23,L.Jordan,Miami,REDG,EDGE,SR (RS),96,88,93,91,68,98,89,104.23,1
2042,24,E.Wood,USC,REDG,EDGE,SR (RS),96,93,95,92,69,94,89,104.14,1
2042,25,S.Harvey,Minnesota,QB,QB,SR (RS),96,87,88,95,90,80,77,103.36,1
2042,26,I.Onwuasor,Ole Miss,LEDG,EDGE,SR (RS),96,75,82,73,79,99,83,103.02,1
2042,27,B.Summer,Alabaster,RG,OL,SR (RS),96,65,91,92,77,99,95,102.93,1
2042,28,R.Stoudemire,NC State,HB,RB,SR,96,92,93,95,96,71,92,102.28,1
2042,29,D.Nicholson,Nebraska,LG,OL,SR,96,73,83,83,51,91,89,101.95,1
2042,30,Q.Everett,Penn State,RG,OL,SR,96,62,80,85,75,93,89,101.91,1
2042,31,J.Davis,Rapid City,HB,RB,SR (RS),96,87,92,94,90,82,87,100.86,1
2042,32,Z.Joe,Notre Dame,MIKE,LB,SR (RS),96,90,92,92,87,85,89,99.59,1
2042,33,D.Witherspoon,Penn State,CB,CB,SR,95,91,90,87,99,63,95,105.38,2
2042,34,L.Clarke,San Diego State,WR,WR,SR (RS),95,95,96,97,98,72,84,104.76,2
2042,35,I.Pena,NC State,CB,CB,SR (RS),95,91,97,95,99,58,83,104.52,2
2042,36,E.Boyko,Texas,WR,WR,SR (RS),95,91,88,92,97,76,86,104.2,2
2042,37,R.Robinson,Auburn,WR,WR,SR (RS),95,90,91,91,94,68,86,104.12,2
2042,38,D.Jaimes,Texas,QB,QB,SR (RS),95,87,85,92,83,60,89,103.81,2
2042,39,R.Walters,Michigan,REDG,EDGE,SR (RS),95,76,85,75,83,88,91,102.88,2
2042,40,J.Corker,Panama City,REDG,EDGE,SR (RS),95,71,85,78,59,84,81,101.44,2
2042,41,M.Raines,Texas A&M,C,OL,SR (RS),95,77,83,83,41,85,87,100.15,2
2042,42,T.Willis,Georgia,LT,OL,SR (RS),95,76,91,85,55,96,80,100.14,2
2042,43,P.Snow,Texas,HB,RB,SR (RS),95,84,91,85,86,90,90,99.64,2
2042,44,R.Doucet,Alabaster,WILL,LB,SR (RS),95,90,92,82,78,87,91,99.15,2
2042,45,D.Hocker,Wisconsin,WILL,LB,SR,95,87,89,84,82,84,89,99.13,2
2042,46,J.Udeze,Oklahoma,SAM,LB,SR (RS),95,89,96,81,77,77,91,98.88,2
2042,47,R.Mangold,Michigan,MIKE,LB,SR (RS),95,90,88,90,83,85,86,98.25,2
2042,48,Q.Trinidad,Ohio State,MIKE,LB,SR (RS),95,90,91,90,87,84,81,97.72,2
2042,49,N.Pope,Rapid City,TE,TE,SR (RS),95,85,84,84,76,76,73,94.65,2
2042,50,S.Jennings,Oregon,WR,WR,SR,94,93,94,99,99,77,87,104.68,2
2042,51,K.Currie,Ohio State,WR,WR,SR,94,91,96,92,95,73,89,104.4,2
2042,52,N.Mancuso,Oklahoma State,WR,WR,SR,94,89,95,89,88,84,95,104.36,2
2042,53,E.Moncrief,Tennessee,CB,CB,SR,94,94,94,91,99,62,86,104.32,2
2042,54,P.Brink,East Carolina,WR,WR,SR (RS),94,97,92,95,96,71,86,103.9,2
2042,55,M.Hughes,Washington,QB,QB,SR (RS),94,81,82,93,87,62,92,103.32,2
2042,56,J.Boiman,Penn State,REDG,EDGE,SR (RS),94,85,86,92,66,90,80,100.86,2
2042,57,S.Gastineau,USC,RT,OL,SR (RS),94,66,82,98,83,91,93,100.35,2
2042,58,M.Mundy,Alabaster,RG,OL,SR (RS),94,65,81,96,82,95,88,99.86,2
2042,59,R.Barksdale,Alabaster,HB,RB,SR (RS),94,93,99,92,93,78,83,99.54,2
2042,60,D.Meyers,USC,HB,RB,SR (RS),94,86,90,99,99,82,83,99.42,2
2042,61,G.Harris,Miami,LG,OL,SR (RS),94,54,87,92,81,93,83,99.41,2
2042,62,D.Irving,Wyoming,RG,OL,SR (RS),94,56,71,92,70,86,91,99.37,2
2042,63,J.Fayad,Texas,SAM,LB,SR (RS),94,83,90,87,86,95,89,98.39,2
2042,64,J.Schubert,Washington,SAM,LB,SR (RS),94,87,97,83,87,84,87,97.96,2
2042,65,S.Cantrell,NC State,MIKE,LB,SR (RS),94,87,92,89,83,80,88,97.68,3
2042,66,E.Kelemete,Notre Dame,QB,QB,SR (RS),93,91,91,99,99,57,95,103.59,3
2042,67,B.Cota,Alabaster,WR,WR,SR (RS),93,90,86,98,99,63,95,103.56,3
2042,68,A.Ekiyor,Oklahoma,CB,CB,SR,93,95,97,93,99,59,83,103.54,3
2042,69,L.Song,Miami,WR,WR,SR,93,89,89,93,97,66,87,103.22,3
2042,70,J.Cameron,Alabaster,WR,WR,SR,93,91,88,91,93,75,88,103.1,3
2042,71,G.Fine,LSU,WR,WR,SR (RS),93,90,96,99,92,85,87,103.08,3
2042,72,K.Shead,USC,CB,CB,SR (RS),93,94,98,98,99,63,78,102.84,3
2042,73,J.Madu,Southern Mississippi,WR,WR,SR (RS),93,92,98,95,82,89,88,102.76,3
2042,74,D.Hitchcock,Wisconsin,CB,CB,SR (RS),93,87,88,88,99,79,89,102.64,3
2042,75,R.Agude,Georgia Tech,CB,CB,SR (RS),93,95,98,96,95,54,76,102.48,3
2042,76,C.Wenning,Alabama,RG,OL,SR (RS),93,63,88,85,81,99,95,100.46,3
2042,77,E.Hocker,Michigan,LG,OL,SR (RS),93,65,91,88,77,88,93,99.84,3
2042,78,N.Dennison,USC,LEDG,EDGE,SR (RS),93,83,94,88,71,90,74,99.69,3
2042,79,K.Claiborne,Alabama,RG,OL,SR,93,65,83,82,66,92,87,99.41,3
2042,80,E.Payne,Clemson,C,OL,SR (RS),93,74,90,76,49,99,85,99.29,3
2042,81,S.Dennis,Georgia,SS,S,SR,93,90,95,87,86,81,80,99.26,3
2042,82,T.Hoppes,Virginia Tech,HB,RB,SR,93,89,90,94,88,83,85,98.78,3
2042,83,J.Mesa,BYU,RG,OL,SR,93,72,81,83,55,87,83,98.59,3
2042,84,G.Puente,Texas,SAM,LB,SR,93,87,94,81,81,88,93,98.48,3
2042,85,T.Mueller,BYU,LG,OL,SR (RS),93,54,76,91,82,84,89,98.48,3
2042,86,A.Keke,SMU,DT,IDL,SR (RS),93,71,84,62,70,91,89,98.16,3
2042,87,A.Magee,Michigan,MIKE,LB,SR,93,91,99,97,91,80,91,98.09,3
2042,88,D.Martini,Oklahoma,SS,S,SR (RS),93,87,79,82,77,78,86,97.92,3
2042,89,T.DeCicco,SMU,LT,OL,SR (RS),93,72,87,81,43,91,77,97.79,3
2042,90,D.Peace,TCU,MIKE,LB,SR (RS),93,89,96,78,85,83,91,97.59,3
2042,91,E.Licata,LSU,WILL,LB,SR (RS),93,87,91,87,86,83,87,96.86,3
2042,92,C.Kush,North Texas,WILL,LB,SR (RS),93,86,93,88,83,80,86,96.69,3
2042,93,W.Stewart,TCU,WILL,LB,SR (RS),93,86,92,90,86,81,85,96.57,3
2042,94,L.Ansah,North Carolina,SAM,LB,SR (RS),93,86,88,85,84,77,87,96.45,3
2042,95,R.Castro,Oklahoma,WILL,LB,SR (RS),93,87,92,86,84,78,85,96.43,3
2042,96,J.Clear,Panama City,SAM,LB,SR (RS),93,82,88,85,83,79,85,96.29,3
2042,97,B.Peters,TCU,SAM,LB,SR (RS),93,85,92,83,79,80,83,96.27,4
2042,98,S.Armah,Rutgers,WILL,LB,SR (RS),93,89,89,89,87,76,80,95.58,4
