Rank,Team,W,L,WinPct,FPI,SOS,SOR,Chaos,Streak,GamesPlayed
1,Texas Tech,7,0,1,27.32,5.899,5.899,7,7W,7
2,LSU,7,0,1,23.425,-6.462,-6.462,7,7W,7
3,USF,5,1,0.833,23.247,2.325,-0.644,-12.2,2W,6
4,Bowling Green,7,0,1,22.837,-0.211,-0.211,7,7W,7
5,Notre Dame,7,0,1,22.518,-6.277,-6.277,7,7W,7
6,Texas A&M,6,0,1,19.272,-5.959,-5.959,8,6W,6
7,BYU,5,0,1,17.173,-5.024,-5.024,7,5W,5
8,Ole Miss,6,0,1,16.472,-5.225,-5.225,8,6W,6
9,TCU,5,1,0.833,15.786,0.068,-9.039,3,4W,6
10,Michigan,5,1,0.833,15.597,-3.642,-0.039,-21,1L,6
11,Houston,7,0,1,14.708,-7.326,-7.326,9,7W,7
12,West Virginia,7,0,1,14.223,-9.439,-9.439,7,7W,7
13,Georgia Tech,5,1,0.833,12.954,-1.262,-10.369,5,5W,6
14,Navy,5,1,0.833,12.314,-4.875,-7.331,-13.5,1W,6
15,Troy,5,2,0.714,11.294,-7.01,-9.662,-37.7,4W,7
16,Texas,4,2,0.667,11.183,2.196,-3.712,-14.3,3W,6
17,Toledo,5,2,0.714,10.844,-4.196,-10.57,-18.7,1W,7
18,Georgia,4,1,0.8,10.312,-3.147,-5.325,-6.4,1W,5
19,Louisiana Tech,5,1,0.833,10.116,-3.272,-9.696,7,3W,6
20,Panama City,5,2,0.714,10.082,-5.72,-5.534,-22.7,3W,7
21,Mississippi State,4,1,0.8,10.071,-3.227,-4.825,-15,3W,5
22,Auburn,5,1,0.833,9.887,-0.729,-3.698,9,3W,6
23,Arizona State,5,2,0.714,9.802,2.005,-7.358,5,1W,7
24,Pittsburgh,6,0,1,9.707,-9.756,-9.756,6,6W,6
25,Wake Forest,6,0,1,9.495,-6.846,-6.846,10,6W,6
26,Oregon,5,1,0.833,9.163,0.823,-8.283,7,3W,6
27,San Jose State,6,1,0.857,8.908,6.218,6.414,30.9,2W,7
28,Florida,4,2,0.667,8.816,9.463,-3.64,21.9,1L,6
29,Oklahoma State,5,1,0.833,8.615,-0.275,-3.213,9,1W,6
30,Ohio,5,1,0.833,8.481,-9.208,-10.761,-14.9,3W,6
