YEAR,WEEK,USER,TEAM,OPPONENT,RESULT,TEAM_SCORE,OPP_SCORE,OPP_RANK_AT_GAME,OPP_RANK_CURRENT,OPP_RANK_USED,game_control_score,rolling_3_game_control,trend_vs_prev,game_control_tier,close_escape,false_blowout,stealth_dominance,got_robbed_flag
2042,1,Devin,Bowling Green,Miami,W,56,28,21.0,18.0,21.0,73.21,73.21,,Solid Control,False,False,False,False
2042,1,Doug,Florida,Washington,W,56,21,20.0,23.0,20.0,82.01,82.01,,Strong Control,False,False,False,False
2042,1,Josh,USF,Hammond,W,77,24,14.0,15.0,14.0,89.6,89.6,,Strong Control,False,False,False,False
2042,1,Mike,San Jose State,Stanford,W,71,61,,,,65.72,65.72,,Solid Control,False,False,False,False
2042,1,Nick,Florida State,North Carolina,W,56,35,,,,68.7,68.7,,Solid Control,False,False,False,False
2042,1,Noah,Texas Tech,Georgia Tech,W,48,10,19.0,23.0,19.0,79.46,79.46,,Strong Control,False,False,False,False
2042,2,Devin,Bowling Green,Penn State,W,49,21,14.0,25.0,14.0,77.84,75.53,4.63,Strong Control,False,False,False,False
2042,2,Doug,Florida,NC State,W,43,26,,,,71.68,76.84,-10.33,Solid Control,False,False,False,False
2042,2,Josh,USF,Arkansas,W,56,16,,,,85.83,87.72,-3.77,Strong Control,False,False,False,False
2042,2,Mike,San Jose State,Texas,W,38,37,1.0,8.0,1.0,67.15,66.44,1.43,Solid Control,False,False,False,False
2042,2,Nick,Florida State,Nebraska,L,21,43,19.0,13.0,19.0,41.49,55.1,-27.21,Outplayed / Survived,False,False,False,False
2042,2,Noah,Texas Tech,TCU,W,36,13,,,,78.52,78.99,-0.94,Strong Control,False,False,False,False
2042,3,Devin,Bowling Green,Toledo,W,77,10,,,,89.77,80.27,11.93,Strong Control,False,False,False,False
2042,3,Josh,USF,Oklahoma,W,49,0,23.0,23.0,23.0,88.64,88.02,2.81,Strong Control,False,False,False,False
2042,3,Mike,San Jose State,Auburn,W,34,19,16.0,6.0,16.0,74.63,69.17,7.48,Solid Control,False,False,False,False
2042,3,Noah,Texas Tech,Tennessee,W,52,10,,19.0,19.0,92.96,83.65,14.44,Total Control,False,False,False,False
2042,4,Devin,Bowling Green,Kentucky,W,69,10,,,,79.44,82.35,-10.33,Strong Control,False,False,False,False
2042,4,Doug,Florida,Texas,W,38,35,9.0,8.0,9.0,62.7,72.13,-8.98,Solid Control,False,False,False,False
