Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Notre Dame,72.7,96.7,93.1,99.2,50,50,50,50,83.6,60.5,50,50
Michigan,69.7,96.7,88.5,96.2,50,50,50,50,73.3,18.5,50,50
Alabama,69.2,83.3,94.6,98.5,50,50,50,50,57.3,95,50,50
Ohio State,69,90.8,96.9,94.6,50,50,50,50,57.3,38,50,50
Bowling Green,68.6,86.7,98.5,62.3,50,50,50,50,84.1,60.5,50,50
Texas Tech,68.2,74.2,95.4,87.7,50,50,50,50,90.8,60.5,50,50
Texas,67.6,90.8,83.1,97.7,50,50,50,50,66.7,28.5,50,50
Georgia,66.9,89.2,97.7,61.5,50,50,50,50,65.4,40.4,50,50
Penn State,66.3,80,91.5,90,50,50,50,50,61.3,50,50,50
Ole Miss,66,70,89.2,96.9,50,50,50,50,74.6,62,50,50
Florida State,65.2,74.2,86.2,86.9,50,50,50,50,58.1,94.1,50,50
Nebraska,65.1,96.7,99.2,20.8,50,50,50,50,56.8,56,50,50
Clemson,65.1,90.8,84.6,69.2,50,50,50,50,61.7,26,50,50
USC,64.7,83.3,96.2,56.2,50,50,50,50,54.6,57.5,50,50
Rapid City,64.1,74.2,86.9,82.3,50,50,50,50,49.8,88.4,50,50
Oregon,63,66.7,85.4,86.2,50,50,50,50,63.7,60.5,50,50
LSU,63,66.7,78.5,78.5,50,50,50,50,85,60.5,50,50
Florida,62.6,65,82.3,83.8,50,50,50,50,63.2,82.8,50,50
USF,62.1,48.3,93.8,95.4,50,50,50,50,84.7,31.7,50,50
Texas A&M,61.1,63.3,72.3,80,50,50,50,50,78.8,62,50,50
TCU,61.1,53.3,83.8,92.3,50,50,50,50,73.6,54.5,50,50
Auburn,61,55.8,81.5,93.8,50,50,50,50,64.8,63.5,50,50
San Jose State,60.7,42.5,92.3,93.1,50,50,50,50,63.3,96.3,50,50
Georgia Tech,60.5,70,73.1,66.2,50,50,50,50,69.3,57.5,50,50
Washington,59.7,66.7,90,36.9,50,50,50,50,49,98.8,50,50
Miami,59.6,83.3,90.8,0,50,50,50,50,53.1,68.5,50,50
Hammond,58.5,70,87.7,40,50,50,50,50,50.9,35.6,50,50
Oklahoma State,58.3,55.8,74.6,74.6,50,50,50,50,62.9,63.5,50,50
Oklahoma,57,54.2,77.7,70.8,50,50,50,50,56.7,44,50,50
NC State,55.9,57.5,79.2,58.5,50,50,50,50,47.5,35,50,50
Tennessee,55.6,46.7,73.8,91.5,50,50,50,50,46.1,41,50,50
Panama City,55.4,39.2,80.8,84.6,50,50,50,50,65,16,50,50
Arizona State,55.2,40.8,76.2,71.5,50,50,50,50,64.6,57.5,50,50
Houston,53.2,27.5,66.2,88.5,50,50,50,50,72,63.5,50,50
Duke,52.8,24.2,75.4,89.2,50,50,50,50,59.2,60.5,50,50
UCLA,52.4,40.8,76.9,45.4,50,50,50,50,56.8,50,50,50
Baylor,51.7,36.7,80,50,50,50,50,50,56.1,29.5,50,50
Arkansas,51.5,46.7,70.8,47.7,50,50,50,50,38.1,56.8,50,50
SMU,50.8,31.7,71.5,57.7,50,50,50,50,62.3,37.9,50,50
North Texas,50.7,27.5,64.6,90.8,50,50,50,50,51.3,36.5,50,50
West Virginia,49.6,33.3,60,42.3,50,50,50,50,71.2,60.5,50,50
North Carolina,49.4,31.7,66.9,36.2,50,50,50,50,58.7,79.8,50,50
Death Valley,49.3,29.2,63.8,63.8,50,50,50,50,36.1,95.5,50,50
Virginia Tech,49.2,33.3,69.2,43.8,50,50,50,50,52,48.5,50,50
Alabaster,48.2,46.7,67.7,12.3,50,50,50,50,36.2,60.6,50,50
Wyoming,47.7,48.3,39.2,44.6,50,50,50,50,50.6,50,50,50
San Diego State,47.1,39.2,40,50,50,50,50,50,53.3,67.8,50,50
California,46.9,20,65.4,77.7,50,50,50,50,41.5,20,50,50
Stanford,46.3,33.3,49.2,60.8,50,50,50,50,40.3,38,50,50
Wake Forest,46.3,5.8,61.5,72.3,50,50,50,50,64.2,65,50,50
Indiana,46,20,55.4,60,50,50,50,50,54.9,48.5,50,50
BYU,46,30,36.2,46.2,50,50,50,50,75.6,60.5,50,50
Memphis,46,16.7,57.7,76.2,50,50,50,50,40,58.1,50,50
East Carolina,45.7,20,50.8,73.1,50,50,50,50,58.9,16.4,50,50
Temple,45.6,7.5,58.5,79.2,50,50,50,50,49.4,68,50,50
Iowa,45.5,29.2,70,26.2,50,50,50,50,36.3,38,50,50
Toledo,45.4,12.5,53.8,73.8,50,50,50,50,66.2,22,50,50
Missouri,45.1,20,63.1,63.1,50,50,50,50,35.1,27.5,50,50
Illinois,45,7.5,54.6,83.1,50,50,50,50,33.9,100,50,50
Virginia,45,16.7,56.2,81.5,50,50,50,50,44.3,6,50,50
Wisconsin,43,20,60.8,16.9,50,50,50,50,57.2,32,50,50
Troy,42.6,16.7,46.9,48.5,50,50,50,50,66.9,0,50,50
Kansas,42.4,16.7,40.8,59.2,50,50,50,50,55.2,26.3,50,50
Colorado,41.4,7.5,56.9,50.8,50,50,50,50,33.1,53.5,50,50
Michigan State,41,7.5,48.5,30,50,50,50,50,56,77.9,50,50
UCF,40.7,0,44.6,76.9,50,50,50,50,47.6,33.5,50,50
Fresno State,40.5,0,45.4,54.6,50,50,50,50,57,59.9,50,50
Pittsburgh,40.2,24.2,32.3,6.9,50,50,50,50,64.5,59,50,50
South Carolina,40,7.5,38.5,80.8,50,50,50,50,28.6,33.2,50,50
Marshall,39.5,0,59.2,28.5,50,50,50,50,50.2,44,50,50
Utah,39.4,7.5,41.5,75.4,50,50,50,50,33.2,0,50,50
Boise State,39.4,15,23.1,66.9,50,50,50,50,57.3,0.9,50,50
Boston College,39.3,10.8,52.3,26.9,50,50,50,50,43.1,23,50,50
Kentucky,39.2,4.2,37.7,67.7,50,50,50,50,40.3,35,50,50
Maryland,38.8,13.3,68.5,1.5,50,50,50,50,25.8,21.5,50,50
Purdue,38.5,3.3,53.1,30.8,50,50,50,50,43,32,50,50
UConn,38,3.3,27.7,55.4,50,50,50,50,37.9,89.9,50,50
Louisville,37.6,13.3,43.8,17.7,50,50,50,50,38.2,29,50,50
Minnesota,37.2,3.3,51.5,32.3,50,50,50,50,28.7,30.5,50,50
Navy,36.8,13.3,21.5,19.2,50,50,50,50,68.4,29.8,50,50
Air Force,36.5,0,26.9,53.8,50,50,50,50,38,71.5,50,50
Hawai'i,36.2,0,35.4,37.7,50,50,50,50,48.5,33.5,50,50
Army,36.2,0,25.4,43.1,50,50,50,50,36.8,100,50,50
Ohio,36.1,3.3,15.4,53.1,50,50,50,50,62.7,27.6,50,50
Kansas State,35.9,0,34.6,33.1,50,50,50,50,42.4,57,50,50
Louisiana Tech,35.6,0,24.6,23.1,50,50,50,50,65.1,60.5,50,50
Cincinnati,35.6,0,42.3,35.4,50,50,50,50,43.2,0,50,50
Tulane,35.5,3.3,40,4.6,50,50,50,50,61,20.5,50,50
Rutgers,35.2,13.3,20.8,27.7,50,50,50,50,43.5,24.5,50,50
Missouri State,35,0,7.7,56.9,50,50,50,50,61,48.5,50,50
Oregon State,34.7,0,33.8,38.5,50,50,50,50,39,14.6,50,50
Syracuse,34.7,0,36.9,18.5,50,50,50,50,40.1,48.5,50,50
Arizona,34.7,0,31.5,33.8,50,50,50,50,45.4,20.6,50,50
Florida International,34.4,5.8,6.7,50,50,50,50,50,52,36.5,50,50
Southern Mississippi,34.1,5.8,6.7,50,50,50,50,50,53.9,22.4,50,50
UTSA,34,0,19.2,20,50,50,50,50,44.1,100,50,50
Tulsa,33.9,0,30.8,3.8,50,50,50,50,52,60.5,50,50
James Madison,33.7,0,17.7,34.6,50,50,50,50,43.8,59.1,50,50
Iowa State,33.6,0,6.2,40.8,50,50,50,50,49.2,80.9,50,50
Vanderbilt,33.5,0,16.9,22.3,50,50,50,50,58,50,50,50
Eastern Michigan,33.2,0,0,50,50,50,50,50,56.5,55,50,50
Mississippi State,33,0,0,50,50,50,50,50,65,27.5,50,50
Massachusetts,32.5,0,0,50,50,50,50,50,50,50,50,50
Liberty,32.4,0,22.3,5.4,50,50,50,50,55.9,36.8,50,50
Appalachian State,32.4,4.2,3.3,50,50,50,50,50,51.2,0,50,50
New Mexico State,32.4,0,0,50,50,50,50,50,50.7,45.8,50,50
Washington State,32.2,0,0,50,50,50,50,50,41.4,64.4,50,50
Ball State,32.1,0,12.3,52.3,50,50,50,50,35,9.5,50,50
Charlotte,32,0,3.8,41.5,50,50,50,50,54.6,23.5,50,50
UNLV,31.8,0,20,16.2,50,50,50,50,39.4,44,50,50
Western Michigan,31.5,0,0,50,50,50,50,50,43.2,33.5,50,50
Middle Tennessee,31.5,0,0,50,50,50,50,50,31.4,64.7,50,50
Gate City,31.5,0,30,3.1,50,50,50,50,40.7,16.1,50,50
Kennesaw State,31.5,0,0,50,50,50,50,50,51.2,11.9,50,50
Georgia Southern,31.4,0,0,50,50,50,50,50,40.9,38,50,50
Central Michigan,31.1,0,0,50,50,50,50,50,40.7,29,50,50
