Season,Award,PlayerID,Player,NFLTeam,Pos,Result,Notes
2042,NFL MVP,2042_washingtonstate_csantiago_qb,C.Santiago,Saints,QB,Winner,"3577 pass yds, 17 pass TD"
2042,Offensive Player of the Year,2042_ncstate_rstoudemire_hb,R.Stoudemire,Chargers,HB,Winner,"1291 rush yds, 8 rush TD"
2042,Defensive Player of the Year,2042_michigan_zmcnown_will,Z.McNown,Bengals,WILL,Winner,"84 tackles, 6 sacks"
2042,All-Pro,2042_maryland_bdyson_mike,B.Dyson,Rams,MIKE,First Team,"92 tackles, 5 sacks"
2042,All-Pro,2042_texastech_bhenery_hb,B. Henery,Jaguars,HB,First Team,"1059 rush yds, 9 rush TD"
2042,All-Pro,2042_michigan_zmcnown_will,Z.McNown,Bengals,WILL,First Team,"84 tackles, 6 sacks"
2042,All-Pro,2042_nebraska_mbaggs_wr,M.Baggs,Raiders,WR,First Team,"1378 rec yds, 8 rec TD"
2042,All-Pro,2042_miami_kcordero_ledg,K.Cordero,Colts,LEDG,First Team,"66 tackles, 3 sacks"
2042,All-Pro,2042_oklahoma_klobato_will,K.Lobato,Chiefs,WILL,First Team,"83 tackles, 3 sacks"
2042,Pro Bowl,2042_ncstate_rstoudemire_hb,R.Stoudemire,Chargers,HB,Selected,"1291 rush yds, 8 rush TD"
2042,Pro Bowl,2042_texastech_bhenery_hb,B. Henery,Jaguars,HB,Selected,"1059 rush yds, 9 rush TD"
2042,Pro Bowl,2042_michigan_zmcnown_will,Z.McNown,Bengals,WILL,Selected,"84 tackles, 6 sacks"
2042,Pro Bowl,2042_miami_spullard_te,S.Pullard,Ravens,TE,Selected,"870 rec yds, 5 rec TD"
2042,Pro Bowl,2042_nebraska_mbaggs_wr,M.Baggs,Raiders,WR,Selected,"1378 rec yds, 8 rec TD"
2042,Pro Bowl,2042_miami_ljordan_redg,L.Jordan,Titans,REDG,Selected,"74 tackles, 5 sacks"
2042,Pro Bowl,2042_nebraska_bhawkinson_ledg,B.Hawkinson,Bears,LEDG,Selected,"93 tackles, 3 sacks"
2042,Pro Bowl,2042_maryland_bdyson_mike,B.Dyson,Rams,MIKE,Selected,"92 tackles, 5 sacks"
2042,Pro Bowl,2042_notredame_zjoe_mike,Z.Joe,Lions,MIKE,Selected,"76 tackles, 5 sacks"
2042,Pro Bowl,2042_ncstate_scantrell_mike,S.Cantrell,Colts,MIKE,Selected,"70 tackles, 4 sacks"
2042,Pro Bowl,2042_miami_kcordero_ledg,K.Cordero,Colts,LEDG,Selected,"66 tackles, 3 sacks"
2042,Pro Bowl,2042_miami_jlamp_dt,J.Lamp,Falcons,DT,Selected,"61 tackles, 4 sacks"
2043,NFL MVP,BASE::bills::joshallen::qb,Josh Allen,Bills,QB,Winner,"3940 pass yds, 21 pass TD"
2043,Offensive Player of the Year,BASE::bills::joshallen::qb,Josh Allen,Bills,QB,Winner,"3940 pass yds, 21 pass TD"
2043,Defensive Player of the Year,2042_oklahoma_judeze_sam,J.Udeze,Patriots,SAM,Winner,"66 tackles, 6 sacks"
2043,Offensive Rookie of the Year,BASE::raiders::bbowers::te,B. Bowers,Raiders,TE,Winner,"1334 rec yds, 9 rec TD"
2043,Defensive Rookie of the Year,2043_wyoming_fmcdonnell_cb,F. McDonnell,Saints,CB,Winner,"46 tackles, 3 INT"
2043,All-Pro,BASE::bills::joshallen::qb,Josh Allen,Bills,QB,First Team,"3940 pass yds, 21 pass TD"
2043,All-Pro,BASE::lions::peneisewell::rt,Penei Sewell,Lions,RT,First Team,"12 games, 3 starts"
2043,All-Pro,BASE::packers::micahparsons::redg,Micah Parsons,Packers,REDG,First Team,"50 tackles, 6 sacks"
2043,All-Pro,BASE::bengals::jamarrchase::wr,Ja'Marr Chase,Bengals,WR,First Team,"1498 rec yds, 10 rec TD"
2043,All-Pro,BASE::patriots::christiangonzalez::cb,Christian Gonzalez,Patriots,CB,First Team,"62 tackles, 3 INT"
2043,All-Pro,BASE::rams::pnacua::wr,P. Nacua,Rams,WR,First Team,"1296 rec yds, 7 rec TD"
2043,Pro Bowl,2042_oklahoma_judeze_sam,J.Udeze,Patriots,SAM,Selected,"66 tackles, 6 sacks"
2043,Pro Bowl,2042_rapidcity_equinton_dt,E.Quinton,Packers,DT,Selected,"85 tackles, 8 sacks"
2043,Pro Bowl,BASE::bills::joshallen::qb,Josh Allen,Bills,QB,Selected,"3940 pass yds, 21 pass TD"
2043,Pro Bowl,BASE::chargers::djamesjr::ss,D. James Jr,Chargers,SS,Selected,"63 tackles, 4 INT"
2043,Pro Bowl,2042_clemson_jrusso_qb,J.Russo,Steelers,QB,Selected,"4131 pass yds, 21 pass TD"
2043,Pro Bowl,BASE::titans::jsimmons::dt,J. Simmons,Titans,DT,Selected,"66 tackles, 9 sacks"
2043,Pro Bowl,2042_nebraska_mbaggs_wr,M.Baggs,Raiders,WR,Selected,"1687 rec yds, 12 rec TD"
2043,Pro Bowl,2042_texas_psnow_hb,P.Snow,Saints,HB,Selected,"1227 rush yds, 10 rush TD"
2043,Pro Bowl,2042_ncstate_ipena_cb,I.Pena,Cowboys,CB,Selected,"64 tackles, 1 INT"
2043,Pro Bowl,BASE::49ers::fwarner::mike,F. Warner,49ers,MIKE,Selected,"65 tackles, 8 sacks"
2043,Pro Bowl,2042_texastech_bhenery_hb,B. Henery,Jaguars,HB,Selected,"1109 rush yds, 6 rush TD"
2043,Pro Bowl,2042_pennstate_ecominsky_will,E.Cominsky,Panthers,WILL,Selected,"85 tackles, 8 sacks"
