Season,Team,PlayerID,Name,Pos,PosBucket,OVR,Age,Status,Source,CollegeTeam,CollegeUser
2044,Seahawks,,B. Cabeldue,LG,OL,66,23,Active,base_nfl_roster,,
2044,Seahawks,,D. Lock,QB,QB,66,28,Active,base_nfl_roster,,
2044,Seahawks,,J. Milroe,QB,QB,65,22,Active,base_nfl_roster,,
2044,Seahawks,,C. O'Toole,REDG,EDGE,64,23,Active,base_nfl_roster,,
2044,Seahawks,,C. Surratt,SAM,LB,64,28,Active,base_nfl_roster,,
2044,Seahawks,,C. White,WR,WR,64,26,Active,base_nfl_roster,,
2044,Seahawks,,K. McIntosh,HB,RB,64,25,Active,base_nfl_roster,,
2044,Seahawks,,A. Finley,SS,S,63,23,Active,base_nfl_roster,,
2044,Seahawks,,B. Pili,DT,IDL,63,26,Active,base_nfl_roster,,
2044,Seahawks,,M. Richman,RT,OL,63,23,Active,base_nfl_roster,,
2044,Seahawks,,J. Myers,K,K,84,34,Active,base_nfl_roster,,
2044,Seahawks,,C. Cross,LT,OL,83,24,Active,base_nfl_roster,,
2044,Seahawks,,A. Lucas,RT,OL,83,26,Active,base_nfl_roster,,
2044,Seahawks,,E. Jones IV,MIKE,LB,83,25,Active,base_nfl_roster,,
2044,Seahawks,,Z. Charbonnet,HB,RB,82,24,Active,base_nfl_roster,,
2044,Seahawks,,T. Woolen,CB,CB,81,26,Active,base_nfl_roster,,
2044,Seahawks,,R. Shaheed,WR,WR,79,27,Active,base_nfl_roster,,
2044,Seahawks,,G. Zabel,LG,OL,79,23,Active,base_nfl_roster,,
2044,Seahawks,,B. Mafe,REDG,EDGE,78,26,Active,base_nfl_roster,,
2044,Seahawks,,J. Reed,DT,IDL,78,31,Active,base_nfl_roster,,
2044,Seahawks,,D. Hall,REDG,EDGE,77,24,Active,base_nfl_roster,,
2044,Seahawks,,J. Jobe,CB,CB,77,27,Active,base_nfl_roster,,
2044,Seahawks,,U. Nwosu,LEDG,EDGE,77,28,Active,base_nfl_roster,,
2044,Seahawks,,C. Bryant,FS,S,76,26,Active,base_nfl_roster,,
2044,Seahawks,,D. Thomas,WILL,LB,75,25,Active,base_nfl_roster,,
2044,Seahawks,,T. Horton,WR,WR,75,22,Active,base_nfl_roster,,
2044,Seahawks,,T. Knight,WILL,LB,75,24,Active,base_nfl_roster,,
2044,Seahawks,,A. Barner,TE,TE,75,23,Active,base_nfl_roster,,
2044,Seahawks,,R. Ouzts,FB,RB,73,22,Active,base_nfl_roster,,
2044,Seahawks,,A. Bradford,RG,OL,72,24,Active,base_nfl_roster,,
2044,Seahawks,,C. Haynes,RG,OL,72,25,Active,base_nfl_roster,,
2044,Seahawks,,J. Jones,RT,OL,71,28,Active,base_nfl_roster,,
2044,Seahawks,,T. Okada,SS,S,70,26,Active,base_nfl_roster,,
2044,Seahawks,,E. Arroyo,TE,TE,70,22,Active,base_nfl_roster,,
2044,Seahawks,,J. Sundell,C,OL,69,25,Active,base_nfl_roster,,
2044,Seahawks,,J. Bobo,WR,WR,69,27,Active,base_nfl_roster,,
2044,Seahawks,,R. Mills,DT,IDL,69,24,Active,base_nfl_roster,,
2044,Seahawks,,N. Pritchett,CB,CB,69,24,Active,base_nfl_roster,,
2044,Seahawks,,M. Morris,DT,IDL,68,24,Active,base_nfl_roster,,
2044,Seahawks,,D. Young,WR,WR,67,26,Active,base_nfl_roster,,
2044,Seahawks,,E. Saubert,TE,TE,67,31,Active,base_nfl_roster,,
2044,Seahawks,,G. Holani,HB,RB,67,25,Active,base_nfl_roster,,
2044,Seahawks,,O. Oluwatimi,C,OL,66,26,Active,base_nfl_roster,,
2044,Seahawks,,J. Smith-Njigba,WR,WR,95,23,Active,base_nfl_roster,,
2044,Seahawks,,D. Witherspoon,CB,CB,91,24,Active,base_nfl_roster,,
2044,Seahawks,,K. Walker III,HB,RB,90,24,Active,base_nfl_roster,,
2044,Seahawks,,L. Williams,DT,IDL,88,31,Active,base_nfl_roster,,
2044,Seahawks,,D. Lawrence,LEDG,EDGE,87,33,Active,base_nfl_roster,,
2044,Seahawks,,J. Love,FS,S,85,27,Active,base_nfl_roster,,
2044,Seahawks,,N. Emmanwori,SS,S,85,21,Active,base_nfl_roster,,
2044,Seahawks,,M. Dickson,P,P,85,29,Active,base_nfl_roster,,
2044,Seahawks,,S. Darnold,QB,QB,85,28,Active,base_nfl_roster,,
2044,Seahawks,,B. Murphy II,DT,IDL,84,22,Active,base_nfl_roster,,
2044,Seahawks,,C. Kupp,WR,WR,84,32,Active,base_nfl_roster,,
2044,Seahawks,2042_baylor_asimonson_hb,A.Simonson,HB,RB,78,23,Active,dynasty_player,Baylor,
2044,Seahawks,2042_clemson_dduarte_hb,D.Duarte,HB,RB,87,23,Active,dynasty_player,Clemson,
2044,Seahawks,2042_florida_kmccallister_hb,K. McCallister,HB,RB,88,23,Active,dynasty_player,Florida,Doug
2044,Seahawks,2042_georgia_sdennis_ss,S.Dennis,SS,S,76,23,Active,dynasty_player,Georgia,
2044,Seahawks,2042_pennstate_qeverett_rg,Q.Everett,RG,OL,90,23,Active,dynasty_player,Penn State,
2044,Seahawks,2042_texastech_nmccullough_te,N. McCullough,TE,TE,74,23,Active,dynasty_player,Texas Tech,Noah
2044,Seahawks,2042_usc_mwoods_lg,M.Woods,LG,OL,74,23,Active,dynasty_player,USC,
2044,Seahawks,2043_indiana_jlamp_hb,J. Lamp,HB,RB,80,22,Active,dynasty_player,Indiana,
2044,Seahawks,2043_nebraska_bmccluster_sam,B. McCluster,SAM,LB,66,22,Active,dynasty_player,Nebraska,
2044,Seahawks,2043_ohiostate_prossi_rt,P. Rossi,RT,OL,84,22,Active,dynasty_player,Ohio State,
2044,Seahawks,2043_oregon_ltavares_rg,L. Tavares,RG,OL,90,22,Active,dynasty_player,Oregon,
2044,Seahawks,2043_texas_jlane_will,J. Lane,WILL,LB,88,22,Active,dynasty_player,Texas,
2044,Seahawks,2043_troy_sbullitt_mike,S. Bullitt,MIKE,LB,78,22,Active,dynasty_player,Troy,
2044,Seahawks,2043_wyoming_tfarris_te,T. Farris,TE,TE,82,22,Active,dynasty_player,Wyoming,
2044,Steelers,,C. Heyward,DT,IDL,95,36,Active,base_nfl_roster,,
2044,Steelers,,J. Ramsey,FS,S,94,30,Active,base_nfl_roster,,
2044,Steelers,,T. Watt,LEDG,EDGE,94,30,Active,base_nfl_roster,,
2044,Steelers,,A. Highsmith,REDG,EDGE,87,28,Active,base_nfl_roster,,
2044,Steelers,,C. Boswell,K,K,86,34,Active,base_nfl_roster,,
2044,Steelers,,D. Metcalf,WR,WR,85,27,Active,base_nfl_roster,,
2044,Steelers,,J. Porter,CB,CB,85,25,Active,base_nfl_roster,,
2044,Steelers,,Z. Frazier,C,OL,85,24,Active,base_nfl_roster,,
2044,Steelers,,J. Warren,HB,RB,82,26,Active,base_nfl_roster,,
2044,Steelers,,I. Seumalo,LG,OL,81,31,Active,base_nfl_roster,,
2044,Steelers,,A. Rodgers,QB,QB,80,41,Active,base_nfl_roster,,
2044,Steelers,,D. Elliott,SS,S,80,28,Active,base_nfl_roster,,
2044,Steelers,,P. Queen,MIKE,LB,80,26,Active,base_nfl_roster,,
2044,Steelers,,K. Gainwell,HB,RB,79,26,Active,base_nfl_roster,,
2044,Steelers,,P. Freiermuth,TE,TE,79,26,Active,base_nfl_roster,,
2044,Steelers,,C. Clark,FS,S,78,30,Active,base_nfl_roster,,
2044,Steelers,,N. Herbig,REDG,EDGE,78,23,Active,base_nfl_roster,,
2044,Steelers,,D. Harmon,DT,IDL,77,22,Active,base_nfl_roster,,
