Season,PlayerID,Player,NFLTeam,Pos,PosBucket,Age,Role,OverallStart,OverallEnd,PeakOVR,ProOutcome,DevelopmentCurve,Games,Starts,StatLine,ProBowl,AllPro,MVPVotes,SuperBowlWin,SuperBowlAppear,CareerValue,Status
2042,2042_nebraska_bhawkinson_ledg,B.Hawkinson,Bears,LEDG,EDGE,23,Starter,82,87,93,Superstar,Fast Rise,17,17,"93 tackles, 3 sacks",No,No,0,No,No,63.9,Active
2042,2042_usc_ewood_redg,E.Wood,Jets,REDG,EDGE,23,Starter,82,87,94,Superstar,Fast Rise,14,16,"71 tackles, 5 sacks",No,No,0,No,No,62.6,Active
2042,2042_nebraska_mgannon_c,M.Gannon,Giants,C,OL,23,Depth,86,80,80,Bust,Flat,16,2,"16 games, 2 starts",No,No,0,No,No,42.0,Active
2042,2042_baylor_pegbule_wr,P.Egbule,Patriots,WR,WR,23,Depth,84,84,84,Bust,Flat,12,0,"1239 rec yds, 7 rec TD",No,No,0,No,No,41.3,Active
2042,2042_duke_ccarlyle_qb,C.Carlyle,Cardinals,QB,QB,23,Starter,84,89,97,Superstar,Fast Rise,11,11,"3541 pass yds, 20 pass TD",No,No,0,No,No,57.3,Active
2042,2042_wyoming_mhuber_qb,M.Huber,Commanders,QB,QB,23,Starter,82,87,90,Superstar,Fast Rise,13,13,"4052 pass yds, 25 pass TD",No,No,0,No,No,58.9,Active
2042,2042_miami_ljordan_redg,L.Jordan,Titans,REDG,EDGE,23,Starter,82,88,90,Superstar,Fast Rise,11,17,"74 tackles, 5 sacks",No,No,0,No,No,64.3,Active
2042,2042_miami_jlamp_dt,J.Lamp,Falcons,DT,IDL,23,Starter,83,88,96,Superstar,Fast Rise,13,16,"61 tackles, 4 sacks",No,No,0,No,No,63.1,Active
2042,2042_clemson_jrusso_qb,J.Russo,Steelers,QB,QB,23,Starter,82,87,95,Superstar,Fast Rise,12,13,"3963 pass yds, 22 pass TD",No,No,0,No,No,58.9,Active
2042,2042_pennstate_qeverett_rg,Q.Everett,Seahawks,RG,OL,23,Starter,83,87,94,Superstar,Fast Rise,11,15,"11 games, 15 starts",No,No,0,No,No,61.4,Active
2042,2042_nebraska_mbaggs_wr,M.Baggs,Raiders,WR,WR,23,Starter,84,91,94,Superstar,Fast Rise,16,11,"1378 rec yds, 8 rec TD",Yes,No,0,No,No,66.2,Active
2042,2042_washingtonstate_csantiago_qb,C.Santiago,Saints,QB,QB,23,Starter,82,89,92,Superstar,Fast Rise,16,12,"3577 pass yds, 17 pass TD",No,No,0,No,No,58.6,Active
2042,2042_minnesota_sharvey_qb,S.Harvey,Broncos,QB,QB,23,Rotation,82,84,84,Developmental,Slow Burn,17,9,"3668 pass yds, 21 pass TD",No,No,0,No,No,52.6,Active
2042,2042_miami_dbercovici_lg,D.Bercovici,Vikings,LG,OL,23,Starter,83,89,93,Superstar,Fast Rise,11,14,"11 games, 14 starts",No,No,0,No,No,61.1,Active
2042,2042_miami_kcordero_ledg,K.Cordero,Colts,LEDG,EDGE,23,Starter,84,91,97,Superstar,Fast Rise,15,15,"66 tackles, 3 sacks",No,No,0,No,No,63.2,Active
2042,2042_michigan_zmcnown_will,Z.McNown,Bengals,WILL,LB,23,Starter,84,91,96,Superstar,Fast Rise,16,12,"84 tackles, 6 sacks",Yes,No,0,No,No,67.5,Active
2042,2042_pennstate_adennis_redg,A.Dennis,Cowboys,REDG,EDGE,23,Depth,84,79,79,Bust,Flat,12,2,"63 tackles, 2 sacks",No,No,0,No,No,41.6,Active
2042,2042_alabaster_bsummer_rg,B.Summer,Browns,RG,OL,23,Starter,83,90,96,Superstar,Fast Rise,14,8,"14 games, 8 starts",Yes,No,0,No,No,62.0,Active
2042,2042_maryland_bdyson_mike,B.Dyson,Rams,MIKE,LB,23,Starter,84,92,96,Superstar,Fast Rise,17,15,"92 tackles, 5 sacks",No,No,0,No,No,63.6,Active
2042,2042_olemiss_ionwuasor_ledg,I.Onwuasor,Dolphins,LEDG,EDGE,23,Rotation,84,87,87,Developmental,Slow Burn,12,1,"69 tackles, 2 sacks",No,No,0,No,No,43.9,Active
2042,2042_pennstate_ecominsky_will,E.Cominsky,Panthers,WILL,LB,23,Starter,84,91,93,Superstar,Fast Rise,13,8,"78 tackles, 4 sacks",No,No,0,No,No,54.5,Active
2042,2042_oklahoma_klobato_will,K.Lobato,Chiefs,WILL,LB,23,Starter,84,91,93,Superstar,Fast Rise,16,9,"83 tackles, 3 sacks",No,No,0,No,No,55.7,Active
2042,2042_oklahoma_jcutrera_mike,J.Cutrera,Buccaneers,MIKE,LB,23,Starter,84,89,95,Superstar,Fast Rise,13,9,"56 tackles, 7 sacks",No,No,0,No,No,54.8,Active
2042,2042_rapidcity_equinton_dt,E.Quinton,Packers,DT,IDL,23,Starter,82,88,95,Superstar,Fast Rise,11,14,"55 tackles, 4 sacks",No,No,0,No,No,60.6,Active
2042,2042_nebraska_dnicholson_lg,D.Nicholson,Texans,LG,OL,23,Starter,81,88,92,Superstar,Fast Rise,11,13,"11 games, 13 starts",No,No,0,No,No,59.4,Active
2042,2042_texastech_bhenery_hb,B. Henery,Jaguars,HB,RB,23,Starter,84,91,92,Superstar,Fast Rise,16,14,"1059 rush yds, 9 rush TD",Yes,No,0,No,No,70.0,Active
2042,2042_ncstate_rstoudemire_hb,R.Stoudemire,Chargers,HB,RB,23,Starter,84,90,94,Superstar,Fast Rise,16,15,"1291 rush yds, 8 rush TD",Yes,No,0,No,No,70.8,Active
2042,2042_tcu_tdemar_mike,T.DeMar,Eagles,MIKE,LB,23,Starter,84,90,94,Superstar,Fast Rise,13,14,"74 tackles, 8 sacks",No,No,0,No,No,61.5,Active
2042,2042_rapidcity_jdavis_hb,J.Davis,Bills,HB,RB,23,Rotation,84,84,84,Developmental,Slow Burn,15,9,"1133 rush yds, 10 rush TD",No,No,0,No,No,52.6,Active
2042,2042_notredame_zjoe_mike,Z.Joe,Lions,MIKE,LB,23,Starter,81,86,94,Superstar,Fast Rise,15,17,"76 tackles, 5 sacks",No,No,0,No,No,63.5,Active
2042,2042_miami_spullard_te,S.Pullard,Ravens,TE,TE,23,Starter,84,90,92,Superstar,Fast Rise,13,12,"870 rec yds, 5 rec TD",Yes,No,0,No,No,67.0,Active
2042,2042_ucla_tgales_te,T.Gales,49ers,TE,TE,23,Starter,84,89,92,Star,Fast Rise,16,15,"930 rec yds, 4 rec TD",No,No,0,No,No,62.3,Active
2042,2042_eastcarolina_pbrink_wr,P.Brink,49ers,WR,WR,23,Depth,83,80,80,Bust,Flat,13,0,"1368 rec yds, 10 rec TD",No,No,0,No,No,39.5,Active
2042,2042_michigan_rwalters_redg,R.Walters,Bears,REDG,EDGE,23,Starter,84,89,91,Star,Fast Rise,11,12,"60 tackles, 4 sacks",No,No,0,No,No,58.6,Active
2042,2042_michigan_rmangold_mike,R.Mangold,Bengals,MIKE,LB,23,Starter,82,87,92,Superstar,Fast Rise,15,16,"85 tackles, 7 sacks",No,No,0,No,No,62.6,Active
2042,2042_oklahomastate_nmancuso_wr,N.Mancuso,Bills,WR,WR,23,Rotation,80,80,80,Developmental,Slow Burn,11,7,"1409 rec yds, 7 rec TD",No,No,0,No,No,48.2,Active
2042,2042_washington_mhughes_qb,M.Hughes,Broncos,QB,QB,23,Starter,82,88,89,Star,Fast Rise,13,13,"3979 pass yds, 22 pass TD",No,No,0,No,No,59.4,Active
2042,2042_ohiostate_kcurrie_wr,K.Currie,Browns,WR,WR,23,Rotation,83,83,83,Developmental,Slow Burn,16,8,"1405 rec yds, 10 rec TD",No,No,0,No,No,50.9,Active
2042,2042_pennstate_jboiman_redg,J.Boiman,Buccaneers,REDG,EDGE,23,Starter,80,85,88,Star,Fast Rise,13,17,"66 tackles, 2 sacks",No,No,0,No,No,63.0,Active
2042,2042_texas_djaimes_qb,D.Jaimes,Cardinals,QB,QB,23,Depth,82,81,81,Bust,Flat,12,0,"3031 pass yds, 14 pass TD",No,No,0,No,No,40.0,Active
2042,2042_auburn_rrobinson_wr,R.Robinson,Chargers,WR,WR,23,Rotation,83,83,83,Developmental,Slow Burn,14,1,"1424 rec yds, 7 rec TD",No,No,0,No,No,42.1,Active
2042,2042_texas_eboyko_wr,E.Boyko,Chiefs,WR,WR,23,Starter,81,85,87,Star,Fast Rise,15,9,"1314 rec yds, 7 rec TD",No,No,0,No,No,53.0,Active
2042,2042_pennstate_dwitherspoon_cb,D.Witherspoon,Colts,CB,CB,23,Rotation,82,84,84,Developmental,Slow Burn,14,3,"54 tackles, 0 INT",No,No,0,No,No,45.1,Active
2042,2042_sandiegostate_lclarke_wr,L.Clarke,Commanders,WR,WR,23,Starter,81,85,90,Star,Fast Rise,15,16,"1554 rec yds, 10 rec TD",No,No,0,No,No,61.8,Active
2042,2042_ncstate_ipena_cb,I.Pena,Cowboys,CB,CB,23,Starter,84,89,91,Star,Fast Rise,16,11,"56 tackles, 1 INT",No,No,0,No,No,57.3,Active
2042,2042_miami_gharris_lg,G.Harris,Dolphins,LG,OL,23,Starter,80,86,86,Star,Fast Rise,14,11,"14 games, 11 starts",No,No,0,No,No,56.0,Active
2042,2042_oregon_sjennings_wr,S.Jennings,Eagles,WR,WR,23,Starter,81,88,91,Superstar,Fast Rise,17,11,"1400 rec yds, 9 rec TD",No,No,0,No,No,56.9,Active
2042,2042_tennessee_emoncrief_cb,E.Moncrief,Falcons,CB,CB,23,Rotation,82,85,85,Developmental,Slow Burn,11,4,"45 tackles, 1 INT",No,No,0,No,No,46.8,Active
2042,2042_alabaster_rdoucet_will,R.Doucet,Giants,WILL,LB,23,Starter,80,86,89,Superstar,Fast Rise,11,11,"58 tackles, 2 sacks",No,No,0,No,No,56.0,Active
2042,2042_georgia_twillis_lt,T.Willis,Jaguars,LT,OL,23,Rotation,80,81,81,Developmental,Slow Burn,11,5,"11 games, 5 starts",No,No,0,No,No,46.2,Active
2042,2042_panamacity_jcorker_redg,J.Corker,Jets,REDG,EDGE,23,Starter,82,87,90,Star,Fast Rise,14,14,"71 tackles, 3 sacks",No,No,0,No,No,60.1,Active
2042,2042_texasam_mraines_c,M.Raines,Lions,C,OL,23,Starter,82,87,90,Superstar,Fast Rise,17,13,"17 games, 13 starts",No,No,0,No,No,58.9,Active
2042,2042_usc_sgastineau_rt,S.Gastineau,Packers,RT,OL,23,Starter,81,85,90,Star,Fast Rise,16,10,"16 games, 10 starts",No,No,0,No,No,54.2,Active
2042,2042_texas_jfayad_sam,J.Fayad,Panthers,SAM,LB,23,Rotation,80,83,83,Developmental,Slow Burn,15,7,"73 tackles, 2 sacks",No,No,0,No,No,49.6,Active
2042,2042_oklahoma_judeze_sam,J.Udeze,Patriots,SAM,LB,23,Starter,82,88,95,Superstar,Fast Rise,15,12,"77 tackles, 6 sacks",No,No,0,No,No,58.1,Active
2042,2042_wisconsin_dhocker_will,D.Hocker,Raiders,WILL,LB,23,Rotation,82,83,83,Developmental,Slow Burn,15,5,"53 tackles, 6 sacks",No,No,0,No,No,47.1,Active
2042,2042_ohiostate_qtrinidad_mike,Q.Trinidad,Rams,MIKE,LB,23,Starter,82,87,91,Star,Fast Rise,12,10,"72 tackles, 6 sacks",No,No,0,No,No,55.1,Active
2042,2042_wyoming_dirving_rg,D.Irving,Ravens,RG,OL,23,Starter,82,87,89,Star,Fast Rise,15,10,"15 games, 10 starts",No,No,0,No,No,55.1,Active
2042,2042_texas_psnow_hb,P.Snow,Saints,HB,RB,23,Starter,84,89,97,Superstar,Fast Rise,14,8,"999 rush yds, 8 rush TD",No,No,0,No,No,53.6,Active
2042,2042_florida_kmccallister_hb,K. McCallister,Seahawks,HB,RB,23,Starter,80,85,88,Superstar,Fast Rise,12,17,"1142 rush yds, 7 rush TD",No,No,0,No,No,63.0,Active
2042,2042_washington_jschubert_sam,J.Schubert,Steelers,SAM,LB,23,Starter,82,87,94,Superstar,Fast Rise,15,15,"87 tackles, 3 sacks",No,No,0,No,No,61.4,Active
2042,2042_alabaster_rbarksdale_hb,R.Barksdale,Texans,HB,RB,23,Starter,82,87,94,Superstar,Fast Rise,13,14,"1088 rush yds, 7 rush TD",No,No,0,No,No,60.1,Active
2042,2042_usc_dmeyers_hb,D.Meyers,Titans,HB,RB,23,Depth,83,81,81,Bust,Flat,12,2,"1064 rush yds, 7 rush TD",No,No,0,No,No,42.5,Active
2042,2042_rapidcity_npope_te,N.Pope,Vikings,TE,TE,23,Starter,82,86,92,Star,Fast Rise,16,11,"962 rec yds, 6 rec TD",No,No,0,No,No,56.0,Active
2042,2042_alabama_cwenning_rg,C.Wenning,49ers,RG,OL,23,Rotation,82,82,82,Developmental,Slow Burn,11,5,"11 games, 5 starts",No,No,0,No,No,46.6,Active
2042,2042_miami_lsong_wr,L.Song,Bears,WR,WR,23,Rotation,82,82,82,Developmental,Slow Burn,16,6,"1275 rec yds, 8 rec TD",No,No,0,No,No,47.9,Active
2042,2042_texas_gpuente_sam,G.Puente,Bengals,SAM,LB,23,Starter,80,85,92,Superstar,Fast Rise,14,9,"75 tackles, 5 sacks",No,No,0,No,No,53.0,Active
2042,2042_lsu_gfine_wr,G.Fine,Bills,WR,WR,23,Starter,80,84,87,Impact Starter,Steady Rise,13,12,"1256 rec yds, 7 rec TD",No,No,0,No,No,56.3,Active
2042,2042_notredame_ekelemete_qb,E.Kelemete,Broncos,QB,QB,23,Rotation,81,82,82,Developmental,Slow Burn,17,4,"3418 pass yds, 19 pass TD",No,No,0,No,No,45.4,Active
2042,2042_alabaster_bcota_wr,B.Cota,Browns,WR,WR,23,Starter,82,88,91,Superstar,Fast Rise,12,13,"1464 rec yds, 11 rec TD",No,No,0,No,No,59.4,Active
2042,2042_michigan_amagee_mike,A.Magee,Buccaneers,MIKE,LB,23,Starter,78,84,88,Superstar,Fast Rise,12,9,"62 tackles, 5 sacks",No,No,0,No,No,52.6,Active
