Year,User,Team,ProjectedWins,CFPOdds,NattyOdds,Overall,Offense,Defense,QBOvr,BlueChipRatio,TeamSpeed,CheatCodes,GenerationalFreaks,Monsters,QuickHogs,ExpectationMethod
2041,Devin,Bowling Green,12.0,80.0,25.0,89.0,89.0,91.0,91.0,41.0,10.0,3,3.0,6,2,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2041,Doug,Florida,9.8,58.1,16.1,87.0,86.0,89.0,78.0,29.0,9.0,1,2.0,6,1,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2041,Nick,Florida State,11.5,75.2,22.7,89.0,89.0,89.0,88.0,36.0,15.0,4,0.0,4,0,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2041,Mike,San Jose State,4.0,5.0,1.0,73.0,76.0,69.0,84.0,4.0,4.0,0,1.0,1,2,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2041,Noah,Texas Tech,11.7,75.6,22.9,90.0,91.0,89.0,89.0,32.0,13.0,6,2.0,2,0,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2041,Josh,USF,9.4,55.1,15.5,84.0,84.0,84.0,95.0,19.0,15.0,1,5.0,3,0,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2042,Devin,Bowling Green,,,,,,,,,,3,,6,2,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2042,Doug,Florida,,,,,,,,,,1,,6,1,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2042,Nick,Florida State,,,,,,,,,,4,,4,0,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2042,Mike,San Jose State,,,,,,,,,,0,,1,2,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2042,Noah,Texas Tech,,,,,,,,,,6,,2,0,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
2042,Josh,USF,,,,,,,,,,1,,3,0,"Derived from TeamRatingsHistory + full roster user-team metrics (CheatCodes, Monsters, QuickHogs)"
