Year,Rank,Team,User,TotalCommits,FiveStar,FourStar,ThreeStar,TwoStar,OneStar,Points
2041,1,Nebraska,,27,4,22,1,0,0,255.25
2041,2,Georgia,,26,2,21,3,0,0,244.65
2041,3,USC,,18,3,11,4,0,0,234.40
2041,4,Bowling Green,Devin,15,5,9,1,0,0,234.25
2041,5,Miami,,28,0,16,12,0,0,231.45
2041,6,Ohio State,,21,0,17,4,0,0,228.30
2041,7,Texas Tech,Noah,16,3,9,4,0,0,224.90
2041,8,San Jose State,Mike,17,2,8,7,0,0,218.10
2041,9,Penn State,,17,0,12,5,0,0,213.20
2041,10,Washington,,17,2,6,9,0,0,211.70
2041,11,Baylor,,18,0,9,9,0,0,207.65
2041,12,Alabama,,14,1,11,2,0,0,206.80
2041,13,Florida State,Nick,13,0,11,2,0,0,194.20
2041,14,Rapid City,Mike,14,0,9,5,0,0,193.70
2041,15,Hammond,Devin,12,0,12,0,0,0,190.40
2041,16,Ole Miss,,14,1,4,9,0,0,183.35
2041,17,LSU,,13,0,7,6,0,0,181.40
2041,18,Clemson,,11,1,8,2,0,0,180.25
2041,19,TCU,,12,0,8,4,0,0,178.95
2041,20,Auburn,,14,1,3,10,0,0,178.80
2041,21,Iowa,,17,0,2,13,2,0,173.25
2041,22,Michigan,,11,0,8,3,0,0,171.90
2041,23,UCLA,,14,0,3,11,0,0,169.05
2041,24,Oregon,,10,1,7,2,0,0,168.80
2041,25,Notre Dame,,10,1,7,2,0,0,168.80
2041,26,Arizona State,,11,0,5,6,0,0,159.90
2041,27,Oklahoma,,9,0,9,0,0,0,158.00
2041,28,Wake Forest,,16,0,0,11,5,0,153.55
2041,29,Texas,,10,0,5,5,0,0,151.80
2041,30,Panama City,Josh,9,0,7,2,0,0,150.95
2041,31,North Texas,,13,0,0,12,1,0,146.90
2041,32,NC State,,9,0,5,4,0,0,142.65
2041,33,Texas A&M,,10,0,3,7,0,0,142.50
2041,34,Oklahoma State,,10,0,3,7,0,0,142.50
2041,35,Colorado,,13,0,0,10,3,0,141.85
2041,36,Minnesota,,16,0,0,7,9,0,140.75
2041,37,Marshall,,13,0,0,10,2,1,139.80
2041,38,Troy,,21,0,0,5,16,0,139.55
2041,39,Boston College,,11,0,1,9,1,0,138.05
2041,40,Indiana,,12,0,0,10,2,0,137.75
2041,41,Fresno State,,23,0,0,4,19,0,136.20
2041,42,UCF,,21,0,0,4,17,0,135.00
2041,43,Louisville,,12,0,0,9,3,0,134.70
2041,44,Tulane,,10,0,2,7,1,0,134.55
2041,45,Miami (OH),,13,0,0,7,6,0,131.75
2041,46,Missouri,,11,0,1,7,3,0,131.65
2041,47,Southern Miss,,14,0,0,6,8,0,131.25
2041,48,FIU,,14,0,0,6,8,0,131.25
2041,49,Cincinnati,,16,0,0,5,10,1,131.20
2041,50,Memphis,,11,0,0,10,0,1,130.35
2041,51,Houston,,10,0,1,8,1,0,129.60
2041,52,California,,9,0,2,7,0,0,128.45
2041,53,Maryland,,8,0,4,4,0,0,128.05
2041,54,Kansas,,12,0,0,7,5,0,127.65
2041,55,Michigan State,,18,0,0,3,14,1,126.10
2041,56,Florida,Doug,7,0,6,1,0,0,125.80
2041,57,Hawai'i,,17,0,0,3,14,0,125.25
2041,58,USF,Josh,6,2,4,0,0,0,123.75
2041,59,Kentucky,,19,0,0,2,17,0,123.45
2041,60,Illinois,,14,0,0,4,10,0,122.40
2041,61,Duke,,7,0,6,0,1,0,121.80
2041,62,Toledo,,10,0,0,8,2,0,121.25
2041,63,Temple,,10,0,0,8,2,0,121.25
2041,64,East Carolina,,10,0,0,7,3,0,117.55
2041,65,Oregon State,,12,0,0,4,8,0,114.80
2041,66,Middle Tennessee,,11,0,0,5,6,0,114.65
2041,67,Virginia,,9,0,0,7,2,0,111.45
2041,68,Syracuse,,14,0,0,2,11,1,111.00
2041,69,Utah,,9,0,0,6,3,0,107.45
2041,70,Tulsa,,11,0,0,4,6,1,107.40
2041,71,Washington St.,,17,0,0,0,14,3,106.60
2041,72,Georgia Tech,,6,0,4,2,0,0,104.95
2041,73,Alabaster,Noah,6,0,4,2,0,0,104.95
2041,74,Kansas State,,8,0,0,7,1,0,104.75
2041,75,Arizona,,8,0,0,7,1,0,104.75
2041,76,C. Michigan,,11,0,0,4,5,2,104.35
2041,77,Liberty,,8,0,0,6,2,0,100.75
2041,78,Arkansas State,,10,0,0,3,7,0,99.95
2041,79,App St.,,7,0,0,7,0,0,97.35
2041,80,San Diego St.,,6,0,2,4,0,0,95.30
2041,81,Virginia Tech,,6,0,2,3,1,0,91.00
2041,82,Gate City,Nick,6,0,2,3,1,0,91.00
2041,83,North Carolina,,6,0,1,5,0,0,90.35
2041,84,Rice,,6,0,1,5,0,0,90.35
2041,85,Death Valley,Doug,6,0,1,5,0,0,90.35
2041,86,UTSA,,10,0,0,1,9,0,90.10
2041,87,Vanderbilt,,15,0,0,0,8,7,89.05
2041,88,Navy,,8,0,0,4,3,1,88.20
2041,89,BYU,,5,1,1,3,0,0,87.40
2041,90,Arkansas,,5,0,3,2,0,0,87.30
2041,91,Colorado State,,13,0,0,1,6,6,87.10
2041,92,Wisconsin,,6,0,2,2,2,0,86.45
2041,93,UL Monroe,,11,0,0,1,7,3,86.40
2041,94,Sam Houston,,15,0,0,0,7,8,85.35
2041,95,Air Force,,7,0,0,4,3,0,84.50
2041,96,Louisiana Tech,,9,0,0,1,8,0,84.00
2041,97,Iowa State,,14,0,0,0,7,7,83.85
2041,98,Purdue,,8,0,0,3,4,1,83.45
2041,99,UMass,,13,0,0,1,5,7,83.10
2041,100,Rutgers,,9,0,0,3,3,3,82.80
2041,101,Stanford,,5,0,2,3,0,0,82.40
2041,102,Mississippi St,,9,0,0,2,5,2,81.90
2041,103,Tennessee,,5,0,1,4,0,0,77.45
2041,104,UNLV,,10,0,0,0,7,3,75.00
