Year,Rank,Team,User,TotalCommits,FiveStar,FourStar,ThreeStar,TwoStar,OneStar,Points
2041,1,Nebraska,,33,4,27,2,0,0,258.25
2041,2,Bowling Green,Devin,22,5,13,4,0,0,253.0
2041,3,Georgia,,32,2,25,5,0,0,247.7
2041,4,Ohio State,,32,1,27,4,0,0,243.2
2041,5,USC,,25,3,14,8,0,0,243.15
2041,6,Texas Tech,Noah,29,3,12,14,0,0,241.45
2041,7,Alabama,,30,1,21,8,0,0,240.25
2041,8,USF,Josh,22,2,16,4,0,0,240.1
2041,9,Notre Dame,,27,1,20,6,0,0,239.25
2041,10,San Jose State,Mike,35,2,12,21,0,0,238.9
2041,11,Penn State,,31,0,22,9,0,0,235.2
2041,12,Miami,,30,0,16,14,0,0,232.35
2041,13,Washington,,27,2,9,16,0,0,232.05
2041,14,Ole Miss,,34,1,11,22,0,0,230.1
2041,15,Michigan,,28,0,15,13,0,0,229.75
2041,16,Hammond,,24,0,16,8,0,0,229.65
2041,17,Rapid City,,24,0,14,10,0,0,226.9
2041,18,Florida State,Nick,26,0,14,12,0,0,226.25
2041,19,Oregon,,27,1,11,15,0,0,225.15
2041,20,Clemson,,19,1,12,6,0,0,224.6
2041,21,TCU,,27,0,13,14,0,0,224.05
2041,22,Texas,,26,0,12,14,0,0,222.7
2041,23,Florida,Doug,26,0,11,15,0,0,220.65
2041,24,Auburn,,30,1,7,22,0,0,219.3
2041,25,Panama City,,30,0,10,20,0,0,216.85
2041,26,Baylor,,27,0,9,18,0,0,215.1
2041,27,NC State,,25,0,9,14,2,0,214.35
2041,28,LSU,,26,0,9,12,5,0,213.95
2041,29,Oklahoma,,16,0,13,3,0,0,211.5
2041,30,UCLA,,28,0,5,23,0,0,200.9
2041,31,Arizona State,,27,0,5,22,0,0,200.45
2041,32,Duke,,21,0,6,14,1,0,198.65
2041,33,Oklahoma State,,27,0,5,18,4,0,197.65
2041,34,Tennessee,,18,0,6,11,1,0,195.35
2041,35,Georgia Tech,,21,0,4,17,0,0,192.35
2041,36,Texas A&M,,21,0,4,17,0,0,191.75
2041,37,SMU,,19,0,6,9,4,0,191.2
2041,38,Arkansas,,17,0,5,12,0,0,188.75
2041,39,Iowa,,29,0,2,24,3,0,187.2
2041,40,Virginia Tech,,21,0,3,15,3,0,185.65
2041,41,Maryland,,17,0,4,13,0,0,185.2
2041,42,Alabaster,,14,0,6,8,0,0,182.1
2041,43,North Carolina,,18,0,3,14,1,0,181.8
2041,44,Houston,,25,0,1,22,2,0,180.55
2041,45,California,,24,0,2,14,8,0,179.1
2041,46,North Texas,,28,0,0,27,1,0,177.15
2041,47,Death Valley,,20,0,2,15,3,0,176.55
2041,48,Missouri,,23,0,1,16,6,0,175.85
2041,49,San Diego St.,,14,0,5,8,1,0,175.3
2041,50,Wake Forest,,25,0,0,20,5,0,174.6
2041,51,Wisconsin,,16,0,3,11,2,0,174.55
2041,52,West Virginia,,21,0,2,13,6,0,173.9
2041,53,Marshall,,24,0,0,20,3,1,173.65
2041,54,Temple,,24,0,0,18,6,0,173.05
2041,55,Memphis,,22,0,0,19,2,1,172.2
2041,56,Colorado,,21,0,0,18,3,0,171.45
2041,57,Virginia,,23,0,0,18,5,0,171.3
2041,58,Indiana,,20,0,0,17,3,0,169.8
2041,59,Illinois,,27,0,0,14,13,0,168.8
2041,60,Toledo,,19,0,0,17,2,0,168.7
2041,61,Purdue,,22,0,0,15,6,1,168.65
2041,62,Boston College,,17,0,1,14,2,0,168.05
2041,63,Minnesota,,23,0,0,14,9,0,168.0
2041,64,East Carolina,,19,0,0,16,3,0,167.65
2041,65,FIU,,22,0,0,14,8,0,167.5
2041,66,Stanford,,15,0,2,12,1,0,167.15
2041,67,Michigan State,,32,0,0,13,18,1,166.8
2041,68,Miami (OH),,21,0,0,14,7,0,166.8
2041,69,Troy,,28,0,0,12,16,0,165.8
2041,70,E. Michigan,,23,0,0,14,3,6,164.9
2041,71,Fresno State,,30,0,0,11,19,0,164.05
2041,72,UCF,,35,0,0,11,24,0,163.6
2041,73,Louisville,,17,0,0,14,3,0,161.8
2041,74,Middle Tenn,,19,0,0,12,7,0,161.1
2041,75,Cincinnati,,22,0,0,11,10,1,161.0
2041,76,Utah,,22,0,0,12,10,0,160.85
2041,77,Kansas,,23,0,0,11,12,0,160.85
2041,78,Tulane,,14,0,2,10,2,0,160.35
2041,79,Wyoming,,14,0,2,10,2,0,159.75
2041,80,South Carolina,,19,0,0,11,7,1,158.05
2041,81,Kentucky,,28,0,0,9,19,0,157.4
2041,82,Syracuse,,27,0,0,9,17,1,157.25
2041,83,BYU,,13,1,1,8,3,0,156.45
2041,84,Hawai'i,,25,0,0,9,16,0,156.15
2041,85,Kansas State,,15,0,0,13,2,0,155.45
2041,86,Oregon State,,23,0,0,9,13,1,155.2
2041,87,Southern Miss,,18,0,0,10,8,0,154.65
2041,88,Pittsburgh,,12,0,2,10,0,0,152.7
2041,89,Arizona,,14,0,0,13,1,0,152.45
2041,90,Tulsa,,18,0,0,10,7,1,151.95
2041,91,Gate City,,15,2,6,7,0,0,151.5
2041,92,UMass,,22,0,0,9,6,7,150.15
2041,93,Washington St.,,26,0,0,7,16,3,149.55
2041,94,UConn,,20,0,0,9,10,1,149.0
2041,95,Air Force,,14,0,0,11,3,0,148.05
2041,96,Mississippi St.,,20,0,0,8,10,2,146.95
2041,97,Army,,25,0,0,7,12,6,146.9
2041,98,Louisiana Tech,,18,0,0,7,11,0,143.95
2041,99,App St.,,12,0,0,11,1,0,140.1
2041,100,Boise State,,12,0,1,8,3,0,139.05
2041,101,Liberty,,12,0,0,10,2,0,137.75
2041,102,Navy,,13,0,0,9,3,1,136.75
