YEAR,WEEK,RANK,TEAM,TOTAL,5_STAR,4_STAR,3_STAR,2_STAR,1_STAR,PTS
2041,15,1,Nebraska,24,,,,,,253.6
2041,15,2,Georgia,19,2.0,17.0,0.0,0.0,0.0,236.95
2041,15,3,USC,16,3.0,10.0,3.0,0.0,0.0,226.95
2041,15,4,Ohio State,18,0.0,16.0,2.0,0.0,0.0,222.3
2041,15,5,Miami,20,0.0,13.0,7.0,0.0,0.0,221.55
2041,15,6,San Jose State,15,2.0,7.0,6.0,0.0,0.0,208.15
2041,15,7,Texas Tech,13,3.0,7.0,3.0,0.0,0.0,206.35
2041,15,8,Penn State,14,0.0,11.0,3.0,0.0,0.0,199.45
2041,15,9,Bowling Green,11,4.0,6.0,1.0,0.0,0.0,197.9
2041,15,10,Washington,15,1.0,6.0,8.0,0.0,0.0,196.15
2041,15,11,Baylor,15,0.0,7.0,8.0,0.0,0.0,191.15
2041,15,12,Hammond,12,0.0,12.0,0.0,0.0,0.0,190.4
2041,15,13,Florida State,12,0.0,11.0,1.0,0.0,0.0,188.05
2041,15,14,Ole Miss,14,1.0,4.0,9.0,0.0,0.0,183.35
2041,15,15,Clemson,11,1.0,8.0,2.0,0.0,0.0,180.25
2041,15,16,Rapid City,11,0.0,9.0,2.0,0.0,0.0,175.25
2041,15,17,Alabama,10,1.0,9.0,0.0,0.0,0.0,175.2
2041,15,18,UCLA,14,0.0,3.0,11.0,0.0,0.0,169.05
2041,15,19,LSU,11,0.0,7.0,4.0,0.0,0.0,168.2
2041,15,21,Auburn,10,1.0,3.0,6.0,0.0,0.0,152.25
2041,15,22,North Texas,13,0.0,0.0,12.0,1.0,0.0,146.9
2041,15,23,Oregon,8,1.0,6.0,1.0,0.0,0.0,145.9
2041,15,24,Arizona State,9,0.0,5.0,4.0,0.0,0.0,142.65
2041,15,25,Notre Dame,8,1.0,5.0,2.0,0.0,0.0,141.9
