Year,Rank,Team,User,TotalCommits,FiveStar,FourStar,ThreeStar,TwoStar,OneStar,Points
2041,1,Notre Dame,,15,0,12,3,0,0,206.3
2041,2,Alabama,,15,0,9,6,0,0,198.2
2041,3,Texas,,16,0,7,9,0,0,194.9
2041,4,Ole Miss,,14,0,6,8,0,0,182.65
2041,5,Michigan,,14,0,6,8,0,0,182.65
2041,6,USF,Josh,10,0,10,0,0,0,170.2
2041,7,Ohio State,,10,0,10,0,0,0,170.2
2041,8,Auburn,,13,0,4,9,0,0,168.55
2041,9,San Jose State,Mike,13,0,4,9,0,0,168.55
2041,10,TCU,,13,0,4,9,0,0,168.55
2041,11,Tennessee,,12,0,5,6,1,0,164.6
2041,12,North Texas,,15,0,0,15,0,0,158.7
2041,13,Penn State,,10,0,6,4,0,0,156.1
2041,14,Duke,,14,0,0,14,0,0,154.2
2041,15,Houston,,14,0,0,13,1,0,152.45
2041,16,Texas Tech,Noah,11,0,3,8,0,0,150.6
2041,17,Florida State,Nick,11,0,3,8,0,0,150.6
2041,18,Oregon,,12,0,1,11,0,0,147.8
2041,19,E. Michigan,,12,0,0,12,0,0,142.8
2041,20,Panama City,,12,0,0,12,0,0,142.8
2041,21,Florida,Doug,9,0,5,4,0,0,142.65
2041,22,Illinois,,13,0,0,10,3,0,141.85
2041,23,Rapid City,,9,0,4,5,0,0,138.1
2041,24,Virginia,,12,0,0,10,2,0,137.75
2041,25,South Carolina,,11,0,0,11,0,0,135.75
2041,26,Texas A&M,,10,0,1,9,0,0,132.65
2041,27,Temple,,10,0,0,10,0,0,127.65
2041,28,LSU,,11,0,1,5,5,0,123.95
2041,29,California,,12,0,0,6,6,0,123.65
2041,30,UCF,,11,0,0,7,4,0,122.95
2041,31,Memphis,,10,0,0,8,2,0,121.25
2041,32,Utah,,12,0,0,5,7,0,119.35
2041,33,Oklahoma State,,10,0,1,5,4,0,118.55
2041,34,Toledo,,9,0,0,9,0,0,118.5
2041,35,East Carolina,,9,0,0,9,0,0,118.5
2041,36,Wake Forest,,9,0,0,9,0,0,118.5
2041,37,Arizona State,,9,0,0,9,0,0,118.5
2041,38,Oklahoma,,7,0,4,3,0,0,116.95
2041,39,UMass,,9,0,0,8,1,0,115.15
2041,40,Clemson,,7,0,3,4,0,0,112.2
2041,41,Washington St.,,9,0,0,7,2,0,111.45
2041,42,Kentucky,,9,0,0,7,2,0,111.45
2041,43,Boise State,,9,0,0,7,2,0,111.45
2041,44,Georgia Tech,,8,0,0,8,0,0,108.45
2041,45,FIU,,8,0,0,8,0,0,108.45
2041,46,San Diego St.,,7,0,3,3,1,0,108.2
2041,47,Death Valley,,9,0,0,6,3,0,107.45
2041,48,Missouri,,9,0,0,6,3,0,107.45
2041,49,Bowling Green,Devin,6,0,4,2,0,0,104.95
2041,50,Georgia,,6,0,4,2,0,0,104.95
2041,51,Stanford,,8,0,0,7,1,0,104.75
2041,52,Indiana,,8,0,0,7,1,0,104.75
2041,53,Kansas,,10,0,0,4,6,0,104.7
2041,54,NC State,,7,0,3,2,2,0,103.9
2041,55,SMU,,8,0,2,2,4,0,101.85
2041,56,Missouri State,,14,0,0,0,13,1,101.05
2041,57,USC,,6,0,3,3,0,0,100.2
2041,58,UConn,,9,0,0,4,5,0,98.6
2041,59,Fresno State,,7,0,0,7,0,0,97.35
2041,60,Air Force,,7,0,0,7,0,0,97.35
2041,61,Ohio,,7,0,0,7,0,0,97.35
2041,62,Ball State,,7,0,0,7,0,0,97.35
2041,63,Miami (OH),,7,0,0,7,0,0,97.35
2041,64,Colorado,,7,0,0,7,0,0,97.35
2041,65,Baylor,,7,0,0,7,0,0,97.35
