YEAR,Week,Visitor,Home,Vis Score,Home Score,Visitor Rank,Home Rank,Vis_User,Home_User,Reg Season,Conf Title,Bowl,Natty Game,Status,Kickoff_Time,TV_Broadcast,Source,Visitor Record,Home Record
2042,0,Texas State,Eastern Michigan,36,22,,,,,1,0,0,0,FINAL,,Regional,full_schedule,,
2042,0,Tulane,UConn,28,31,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,0,Delaware,Washington State,31,38,,,,,1,0,0,0,FINAL,,Game of the Week,full_schedule,,
2042,1,Georgia,NC State,33,15,15,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Clemson,Texas,37,49,,10,,,1,0,0,0,FINAL,,Game of the Week,full_schedule,,
2042,1,Texas Tech,Georgia Tech,48,10,3,20,Noah,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,LSU,Kansas State,48,20,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Western Kentucky,Virginia,37,34,,,,,1,0,0,0,FINAL,,Regional,full_schedule,,
2042,1,Jacksonville State,Rutgers,17,38,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,USF,Hammond,77,24,8,16,Josh,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Temple,TCU,7,50,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Mississippi State,Coastal Carolina,42,20,,,,,1,0,0,0,FINAL,,Regional,full_schedule,,
2042,1,Oklahoma State,Syracuse,42,37,17,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Missouri,Rapid City,28,31,,2,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Baylor,Miami University,50,6,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Wake Forest,Wisconsin,36,34,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,South Alabama,South Carolina,22,24,,,,,1,0,0,0,FINAL,,Regional,full_schedule,,
2042,1,Louisiana,East Carolina,37,55,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Hawai'i,West Virginia,13,49,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Texas State,UConn,36,39,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Vanderbilt,Army,38,17,,,,,1,0,0,0,FINAL,,Regional,full_schedule,,
2042,1,Arkansas State,UCF,28,33,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,North Carolina,Florida State,35,56,,19,,Nick,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Boston College,Appalachian State,28,35,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Toledo,Boise State,31,10,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Texas A&M,Arkansas,38,24,5,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Washington,Florida,21,56,,12,,Doug,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Ole Miss,Nebraska,41,24,13,6,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Ball State,North Texas,14,31,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,James Madison,Colorado,37,22,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Central Michigan,Utah State,31,10,,,,,1,0,0,0,FINAL,,Regional,full_schedule,,
2042,1,Cincinnati,SMU,22,38,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Arizona,Minnesota,29,26,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Iowa State,Notre Dame,14,70,,4,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Georgia State,Ohio State,7,43,,25,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Troy,Alabama,24,35,,,,,1,0,0,0,FINAL,,National,full_schedule,,
2042,1,Utah,UTEP,31,38,,,,,1,0,0,0,FINAL,,Regional,full_schedule,,
