YEAR,Week,Visitor,Home,Vis Score,Home Score,Visitor Rank,Home Rank,Vis_User,Home_User,Reg Season,Conf Title,Bowl,Natty Game,Status,Kickoff_Time,TV_Broadcast,Source,Visitor Record,Home Record,Bowl_Name
2043.0,0.0,Memphis,Eastern Michigan,48.0,10.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,National,weekly_results,,,
2043.0,0.0,Georgia State,Ball State,31.0,28.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,Regional,weekly_results,,,
2043.0,0.0,Temple,Washington State,21.0,37.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,National,weekly_results,,,
2043.0,0.0,FCS Southeast,Iowa,24.0,45.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,Regional,weekly_results,,,
2043.0,0.0,FCS West,Marshall,3.0,59.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,Regional,weekly_results,,,
2043.0,0.0,FCS Midwest,Gate City,33.0,36.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,Regional,weekly_results,,,
2043.0,1.0,Louisiana Tech,UConn,24.0,23.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,National,full_schedule,,,
2043.0,1.0,Bowling Green,Georgia Tech,49.0,17.0,1.0,23.0,Devin,,1.0,0.0,0.0,0.0,FINAL,nan,Game of the Week,full_schedule,,,
2043.0,1.0,Georgia Southern,Wyoming,35.0,80.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,National,full_schedule,,,
2043.0,1.0,Texas State,Colorado State,16.0,34.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,National,full_schedule,,,
2043.0,1.0,UL Monroe,UTEP,45.0,24.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,Regional,full_schedule,,,
2043.0,1.0,Colorado,Arizona,27.0,30.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,National,full_schedule,,,
2043.0,1.0,UCF,Oregon State,38.0,24.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,Regional,full_schedule,,,
2043.0,1.0,Washington,USC,42.0,21.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,National,full_schedule,,,
2043.0,1.0,Kent State,California,28.0,52.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,National,full_schedule,,,
2043.0,1.0,Central Michigan,Washington State,27.0,28.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,National,full_schedule,,,
2043.0,1.0,Boise State,Delaware,22.0,19.0,,,,,1.0,0.0,0.0,0.0,FINAL,nan,National,full_schedule,,,
