YEAR,Visitor,Home,Vis Score,Home Score,CFP,Vis_User,Home_User,Reg Season,Conf Title,Bowl,Natty Game
2025,Death Valley,Gate City,31,49,No,Doug,Nick,Yes,No,No,NO
2025,Hammond,Rapid City,7,41,No,Devin,Mike,No,Yes,No,NO
2025,Panama city,Alabaster,36,31,No,Josh,Noah,Yes,No,No,NO
2025,Rapid City,Hammond,51,29,No,Mike,Devin,Yes,No,No,NO
2025,gate city,Hammond,35,56,No,Nick,Devin,No,No,Yes,NO
2026,Alabaster,Panama city,52,38,No,Noah,Josh,Yes,No,no,NO
2026,Death Valley,Gate City,35,55,no,Doug,Nick,no,Yes,no,NO
2026,Hammond,Rapid City,42,41,No,Devin,Mike,Yes,No,no,NO
2026,gate city,Death Valley,56,21,No,Nick,Doug,Yes,No,no,NO
2027,Death Valley,Hammond,21,42,No,Doug,Devin,Yes,No,No,NO
2027,Nebraska,Rapid City,13,31,No,Nick,Mike,Yes,No,no,NO
2027,Panama city,Alabaster,26,20,No,Josh,Noah,Yes,No,No,NO
2027,Panama city,Alabaster,35,56,No,Josh,Noah,no,yes,No,NO
2028,Alabaster,Panama city,52,27,No,Noah,Josh,Yes,No,no,NO
2028,Alabaster,Rapid City,21,23,Yes,Noah,Mike,No,No,No,NO
2028,Hammond,Death Valley,56,14,No,Devin,Doug,Yes,No,no,NO
2028,Hammond,Rapid City,28,24,Yes,Devin,Mike,No,No,No,YES
2028,Rapid City,Nebraska,28,26,No,Mike,Nick,Yes,No,no,NO
2029,Hammond,Nebraska,35,15,No,Devin,Nick,Yes,No,No,NO
2029,Panama city,Alabaster,34,55,No,Josh,Noah,Yes,No,No,NO
2029,Panama city,Alabaster,38,41,Yes,Josh,Noah,no,No,No,NO
2029,Panama city,Hammond,52,42,Yes,Josh,Devin,No,No,No,NO
2029,Rapid City,Alabaster,56,20,Yes,Mike,Noah,no,no,no,YES
2029,Rapid City,Death Valley,48,0,No,Mike,Doug,Yes,No,No,NO
2029,Rapid City,Hammond,21,28,No,Mike,Devin,Yes,No,No,NO
2029,Rapid City,Hammond,55,27,No,Mike,Devin,No,Yes,No,NO
2030,Alabaster,Death Valley,42,56,No,Noah,Doug,Yes,No,No,NO
2030,Alabaster,Panama city,63,42,No,Noah,Josh,Yes,No,no,NO
2030,Alabaster,Panama city,48,41,No,Noah,Josh,no,Yes,no,NO
2030,Death Valley,Alabaster,35,48,Yes,Doug,Noah,No,No,No,NO
2030,Hammond,Alabaster,70,73,Yes,Devin,Noah,No,No,No,NO
2030,Hammond,Rapid City,35,38,No,Devin,Mike,Yes,No,No,NO
2030,Hammond,Rapid City,44,36,No,Devin,Mike,no,Yes,No,NO
2030,Nebraska,Panama city,42,28,No,Nick,Josh,Yes,No,No,NO
2030,Rapid City,Alabaster,27,31,Yes,Mike,Noah,No,No,No,YES
2030,Rapid City,Nebraska,45,28,Yes,Mike,Nick,No,No,No,NO
2031,Alabaster,Rapid City,42,48,No,Noah,Mike,Yes,No,No,NO
2031,Alabaster,Rapid City,66,84,Yes,Noah,Mike,No,No,No,NO
2031,Hammond,Alabaster,65,56,No,Devin,Noah,Yes,No,No,NO
2031,Hammond,Rapid City,28,49,No,Devin,Mike,Yes,No,No,NO
