Team,Alias
Florida,florida
Florida,florida gators
Florida State,florida state
Florida State,florida state seminoles
Florida State,fsu
Texas Tech,texas tech
Texas Tech,texas tech red raiders
USF,usf
USF,south florida
USF,south florida bulls
South Florida,usf
South Florida,south florida
South Florida,south florida bulls
San Jose State,san jose state
San Jose State,san jose state spartans
San Jose State,sjsu
Bowling Green,bowling green
Bowling Green,bowling green falcons
Rapid City,rapid city
Panama City,panama city
Hammond,hammond
Alabaster,alabaster
Death Valley,death valley
Gate City,gate city
Oklahoma State,oklahoma state
Oklahoma State,oklahoma state cowboys
Oklahoma State,oklahoma st
South Carolina,south carolina
South Carolina,south carolina gamecocks
South Carolina,scar
South Carolina,sc
