TEAM,USER,CONFERENCE,YEAR_JOINED
Pittsburgh,,ACC,2038
Georgia Tech,,ACC,2038
Virginia Tech,,ACC,2038
North Carolina,,ACC,2038
Miami,,ACC,2038
California,,ACC,2038
Clemson,,ACC,2038
Duke,,ACC,2038
Louisville,,ACC,2038
Syracuse,,ACC,2038
NC State,,ACC,2038
SMU,,ACC,2038
UCF,,ACC,2038
Stanford,,ACC,2038
Arkansas,,ACC,2038
Vanderbilt,,ACC,2038
Boston College,,ACC,2038
Pittsburg,,ACC,2038
Wake Forest,,American,2038
Tulsa,,American,2038
Tulane,,American,2038
Army,,American,2038
Navy,,American,2038
East Carolina,,American,2038
UCLA,,American,2038
Charlotte,,American,2038
Temple,,American,2038
North Texas,,American,2038
Memphis,,American,2038
UTSA,,American,2038
Virginia,,American,2038
Rice,,American,2038
Rapid City,,Big 12,2038
Hammond,,Big 12,2038
Oklahoma State,,Big 12,2038
BYU,,Big 12,2038
Death Valley,,Big 12,2038
Arizona State,,Big 12,2038
Panama City,,Big 12,2038
Kansas State,,Big 12,2038
Colorado,,Big 12,2038
Baylor,,Big 12,2038
Alabaster,,Big 12,2038
Kansas,,Big 12,2038
TCU,,Big 12,2038
Arizona,,Big 12,2038
Gate City,,Big 12,2038
Utah,,Big 12,2038
Texas Tech,Noah,Big Ten,2038
Penn State,,Big Ten,2038
San Jose State,Mike,Big Ten,2038
Nebraska,,Big Ten,2038
Michigan,,Big Ten,2038
Oregon,,Big Ten,2038
Ohio State,,Big Ten,2038
Washington,,Big Ten,2038
USF,Josh,Big Ten,2038
Indiana,,Big Ten,2038
USC,,Big Ten,2038
Michigan State,,Big Ten,2038
Purdue,,Big Ten,2038
Illinois,,Big Ten,2038
Iowa,,Big Ten,2038
Maryland,,Big Ten,2038
Wisconsin,,Big Ten,2038
Minnesota,,Big Ten,2038
Missouri State,,CUSA,2038
Louisiana Tech,,CUSA,2038
Delaware,,CUSA,2038
New Mexico State,,CUSA,2038
Kennesaw State,,CUSA,2038
Liberty,,CUSA,2038
UTEP,,CUSA,2038
Florida International,,CUSA,2038
Middle Tennessee,,CUSA,2038
Jacksonville State,,CUSA,2038
Western Kentucky,,CUSA,2038
Sam Houston,,CUSA,2038
Notre Dame,,FBS Independents,2038
UConn,,FBS Independents,2038
West Virginia,,MAC,2038
Western Michigan,,MAC,2038
Old Dominion,,MAC,2038
Eastern Michigan,,MAC,2038
Ohio,,MAC,2038
Iowa State,,MAC,2038
Toledo,,MAC,2038
Central Michigan,,MAC,2038
UMass,,MAC,2038
Miami University,,MAC,2038
Kent State,,MAC,2038
Ball State,,MAC,2038
Akron,,MAC,2038
Houston,,MWC,2038
San Diego State,,MWC,2038
Mississippi State,,MWC,2038
UNLV,,MWC,2038
Colorado State,,MWC,2038
Air Force,,MWC,2038
Hawai'i,,MWC,2038
Fresno State,,MWC,2038
Rutgers,,MWC,2038
Boise State,,MWC,2038
Cincinnati,,MWC,2038
Utah State,,MWC,2038
Washington State,,PAC-12,2038
Oregon State,,PAC-12,2038
Bowling Green,Devin,SEC,2038
Auburn,,SEC,2038
Texas A&M,,SEC,2038
Ole Miss,,SEC,2038
LSU,,SEC,2038
Florida State,Nick,SEC,2038
Georgia,,SEC,2038
Texas,,SEC,2038
Florida,Doug,SEC,2038
Oklahoma,,SEC,2038
Alabama,,SEC,2038
Wyoming,,SEC,2038
Tennessee,,SEC,2038
Kentucky,,SEC,2038
South Carolina,,SEC,2038
Missouri,,SEC,2038
Marshall,,Sun Belt,2038
Appalachian State,,Sun Belt,2038
Southern Mississippi,,Sun Belt,2038
Troy,,Sun Belt,2038
Northwestern,,Sun Belt,2038
Georgia State,,Sun Belt,2038
Texas State,,Sun Belt,2038
South Alabama,,Sun Belt,2038
UL Monroe,,Sun Belt,2038
James Madison,,Sun Belt,2038
Louisiana,,Sun Belt,2038
Arkansas State,,Sun Belt,2038
Georgia Southern,,Sun Belt,2038
Coastal Carolina,,Sun Belt,2038
