Team,Slug,Primary,Secondary
Alabama,alabama,#9E1B32,#FFFFFF
Alabaster,alabaster,#D72638,#FFD23F
Appalachian State,app-state,#FFCC00,#000000
Auburn,auburn,#0C2340,#E87722
Bowling Green,bowling-green,#FE5000,#4F2C1D
Clemson,clemson,#F56600,#522D80
Death Valley,death-valley,#6A0DAD,#000000
Florida,florida,#0021A5,#FA4616
Florida State,florida-state,#782F40,#CEB888
Gate City,gate-city,#FFD23F,#000000
Georgia,georgia,#BA0C2F,#000000
Georgia Tech,georgia-tech,#B3A369,#003057
Hammond,hammond,#1F8F4E,#0B4F2A
LSU,lsu,#461D7C,#FDD023
Miami,miami,#F47321,#005030
Michigan,michigan,#00274C,#FFCB05
NC State,nc-state,#CC0000,#000000
Nebraska,nebraska,#E41C38,#FFFFFF
Notre Dame,notre-dame,#0C2340,#C99700
Ohio State,ohio-state,#BB0000,#666666
Oklahoma,oklahoma,#841617,#FDF9D8
Oklahoma State,oklahoma-state,#FF7300,#000000
Ole Miss,ole-miss,#CE1126,#14213D
Oregon,oregon,#154733,#FEE123
Panama City,panama-city,#FF7A00,#000000
Penn State,penn-state,#041E42,#FFFFFF
Rapid City,rapid-city,#00B8B8,#FF4FA3
San Diego State,san-diego-state,#A6192E,#000000
San Jose State,san-jose-state,#0055A2,#E5A823
South Carolina,south-carolina,#73000A,#000000
South Florida,south-florida,#006747,#CFC493
TCU,tcu,#4D1979,#A3A9AC
Tennessee,tennessee,#FF8200,#FFFFFF
Texas,texas,#BF5700,#FFFFFF
Texas A&M,texas-am,#500000,#FFFFFF
Texas Tech,texas-tech,#CC0000,#000000
UCLA,ucla,#2774AE,#FFD100
USC,southern-california,#990000,#FFC72C
USF,south-florida,#006747,#CFC493
Utah,utah,#CC0000,#000000
Washington,washington,#4B2E83,#B7A57A
Wisconsin,wisconsin,#C5050C,#FFFFFF
