User,Year,Week,Opponent,UserScore,OppScore
Mike,2042,1,Stanford,71,61
Devin,2042,1,Miami,56,28
Nick,2042,1,North Carolina,56,35
Mike,2042,2,Texas,38,37
Josh,2042,2,Arkansas,56,16
Devin,2042,2,Penn State,49,21
Doug,2042,2,NC State,43,26
Noah,2042,3,Tennessee,52,10
Mike,2042,3,Auburn,34,19
Josh,2042,3,Oklahoma,49,0
Noah,2042,4,Oregon,45,21
Devin,2042,4,Kentucky,69,10
Nick,2042,4,South Carolina,56,19
Doug,2042,4,Texas,38,35
Mike,2042,5,Washington,36,57
Devin,2042,5,Florida,56,38
Nick,2042,5,Auburn,35,47
Doug,2042,5,Bowling Green,38,56
Noah,2042,6,Purdue,60,26
Mike,2042,6,USC,52,35
Josh,2042,6,Indiana,77,14
Devin,2042,6,Missouri,42,24
Nick,2042,6,Georgia,63,53
Mike,2042,7,Indiana,59,36
Josh,2042,7,Nebraska,56,31
Devin,2042,7,South Carolina,49,0
Nick,2042,7,Miami,21,14
Doug,2042,7,Ole Miss,41,45
Noah,2042,8,San Jose State,35,31
Mike,2042,8,Texas Tech,31,35
Devin,2042,8,Notre Dame,44,36
Nick,2042,8,Oklahoma,58,10
Noah,2042,9,Ohio State,49,35
Mike,2042,9,Nebraska,37,52
Josh,2042,9,Michigan State,56,19
Devin,2042,9,Oklahoma,35,28
Noah,2042,10,USF,42,21
Mike,2042,10,Michigan,30,27
Josh,2042,10,Texas Tech,21,42
Devin,2042,10,Georgia,42,17
Doug,2042,10,Iowa,42,3
Mike,2042,11,Wisconsin,66,9
Devin,2042,11,Auburn,31,21
Doug,2042,11,LSU,48,17
Nick,2042,11,Oregon,56,7
Noah,2042,12,Wisconsin,59,54
Nick,2042,12,Kentucky,77,31
Devin,2042,13,Florida State,38,35
Nick,2042,13,Bowling Green,35,38
Mike,2042,14,Michigan State,50,33
Doug,2042,14,Florida State,24,28
Nick,2042,14,Florida,28,24
Mike,2042,17,Ole Miss,36,13
Josh,2042,17,Nebraska,53,42
Nick,2042,17,West Virginia,49,14
Devin,2042,18,Death Valley,55,20
Josh,2042,18,Texas Tech,46,43
Noah,2042,18,USF,43,46
Nick,2042,18,Notre Dame,55,10
Josh,2043,2,USC,63,21
Doug,2043,2,Indiana,42,24
Nick,2043,2,Arizona State,69,17
Devin,2043,3,SMU,56,24
Josh,2043,3,Nebraska,49,17
Noah,2043,3,TCU,70,38
Doug,2043,3,Iowa,48,7
Nick,2043,3,Kentucky,63,3
Mike,2043,4,Ohio State,52,17
Doug,2043,4,Washington,42,14
Devin,2043,4,Georgia,56,7
Mike,2043,5,Nebraska,54,42
